GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
0,0,2,0,0,12272.1,2,1,700,74.5016,10.623,22.9984,0,155.944,2.04134,245988,161499,3.94003e+006,82500,1107.88,0.10497,1,23.0089,0.851684,0.0803697,102.678,1058.17,0,0,0
1,0,2,0,1,12272.1,2,1,800,36.1227,10.8098,23.0213,0,139.154,1.42126,245988,161499,3.94003e+006,82500,953.161,0.0931733,1,23.0266,0.907472,0.0797598,88.7838,953.161,0,0,0
2,0,2,0,2,12272.1,2,1,800,-4.26321,11.2459,23.7344,0,119.726,1.30315,245988,161499,3.94003e+006,82500,753.489,0.101316,1,23.4008,0.961275,0.0706574,71.8261,753.489,0,0,0
3,0,2,0,3,12272.1,2,1,800,178.975,12.059,22.0475,0,115.08,1.33268,245988,161499,3.94003e+006,82500,698.126,0.0995003,1,21.3126,1.10511,0.0605953,65.5593,698.126,0,0,0
4,0,2,1,0,12286.7,2,1,700,167.342,10.8393,22.4295,0,130.08,2.07087,200000,161499,3.94003e+006,82500,1070.84,0.0941893,1,22.3887,0.587773,0.08066,95.7245,1042.55,0,0,0
5,0,2,1,1,12286.7,2,1,800,119.103,10.6377,22.7541,0,109.185,1.33268,245988,161499,3.94003e+006,82500,954.693,0.0935212,1,22.6238,0.625373,0.0780221,86.5601,954.693,0,0,0
6,0,2,1,2,12286.7,2,1,800,84.9103,11.3492,23.0656,0,111.307,0.683071,245988,161499,1.18051e+006,82500,831.369,0.0622533,0,22.6534,0.758268,0.0702078,76.2523,831.369,0,0,0
7,0,2,1,3,12286.7,2,1,800,54.41,12.5131,21.6787,0,103.066,1.33268,245988,161499,3.94003e+006,82500,704.867,0.0850609,1,20.8261,0.962726,0.0593121,63.781,704.868,0,0,0
8,0,2,2,0,12297.7,2,1,745.783,359.159,11.0393,22.3525,0,110.223,2.48425,245988,161499,3.94003e+006,82500,1175.34,0.0974216,1,22.1854,0.361509,0.0782357,94.398,1098.29,0,0,0
9,0,2,2,1,12297.7,2,1,783.133,327.521,11.8475,22.8803,0,100.062,2.04134,245988,66492.1,1.18051e+006,82500,1148.22,0.100106,1,22.569,0.499166,0.074038,97.3085,1128.16,0,0,0
10,0,2,2,2,12297.7,2,1,800,290.205,11.4295,23.0902,0,98.1377,0.830709,245988,161499,1.18051e+006,82500,922.052,0.0743089,1,22.6816,0.594711,0.0712251,80.2715,922.053,0,0,0
11,0,2,2,3,12297.7,2,1,400,137.605,13.182,22.5033,0,94.1279,1.30315,245988,161499,3.94003e+006,82500,820.026,0.0807416,1,21.6266,0.828708,0.0597176,75.4558,820.026,0,0,0
12,0,2,3,0,12305,2,1,800,397.081,11.1656,21.9918,0,147.743,2.24803,245988,161499,3.94003e+006,82500,1967.46,0.0816355,1,21.512,0.345926,0.0705318,106.745,1215.07,0,0,0
13,0,2,3,1,12305,2,1,786.747,541.618,12.4803,22.9033,0,101.452,2.29865,200000,66492.1,1.18051e+006,82500,1360,0.0823464,1,22.4429,0.424616,0.0707382,105.844,1226.23,0,0,0
14,0,2,3,2,12305,2,1,769.428,610.785,13.3656,23.323,0,95.7082,1.74184,245988,161499,1.18051e+006,82500,1327.66,0.07331,1,22.6481,0.594834,0.0651907,105.194,1241.77,0,0,0
15,0,2,3,3,12305,2,1,700,819.008,14.7311,20.8328,0,96.4672,1.98228,245988,161499,3.94003e+006,82500,1439.73,0.0690956,1,19.9579,0.642482,0.0607773,99.2351,1124.41,0,0,0
