GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
0,0,2,0,0,12272.1,2,1,700,74.5016,12.8475,24.3754,0,14.5557,0.594488,245988,161499,3.94003e+006,82500,1107.88,0.0305699,0,23.0089,0.851684,0.050786,69.3416,1058.17,0,0,0
1,0,2,0,1,12272.1,2,1,800,36.1227,12.8361,24.2951,0,7.81148,0.564961,245988,161499,3.94003e+006,82500,953.161,0.037037,0,23.0266,0.907472,0.0521659,65.8024,953.161,0,0,0
2,0,2,0,2,12272.1,2,1,800,-4.26321,12.9246,24.2131,0,0.911475,0.594488,245988,161499,3.94003e+006,82500,753.489,0.0462198,0,23.4008,0.961275,0.0602366,50.6818,753.489,0,0,0
3,0,2,0,3,12272.1,2,1,800,178.975,13.023,21.6328,0,0.785246,0.742126,245988,161499,3.94003e+006,82500,698.126,0.0554086,0,21.3126,1.10511,0.0695794,48.6354,698.126,0,0,0
4,0,2,1,0,12286.7,2,1,700,167.342,12.0738,23.3836,0,33.9525,0.860236,200000,161499,3.94003e+006,82500,1070.84,0.0391262,0,22.3887,0.587773,0.0586866,70.2799,1042.55,0,0,0
5,0,2,1,1,12286.7,2,1,800,119.103,11.7689,23.4,0,21.3951,0.564961,245988,161499,3.94003e+006,82500,954.693,0.0396464,0,22.6238,0.625373,0.0629092,66.0142,954.693,0,0,0
6,0,2,1,2,12286.7,2,1,800,84.9103,12.0574,23.2131,0,10.6934,0.476378,245988,161499,1.18051e+006,82500,831.369,0.0434159,0,22.6534,0.758268,0.0668384,56.9092,831.369,0,0,0
7,0,2,1,3,12286.7,2,1,800,54.41,12.6246,21.0393,0,7.76557,0.771653,245988,161499,3.94003e+006,82500,704.867,0.0492524,0,20.8261,0.962726,0.0734002,50.1289,704.868,0,0,0
8,0,2,2,0,12297.7,2,1,745.783,359.159,11.3049,22.6918,0,53.0984,1.53937,245988,161499,3.94003e+006,82500,1175.34,0.0603675,1,22.1854,0.361509,0.0698683,78.3577,1098.29,0,0,0
9,0,2,2,1,12297.7,2,1,783.133,327.521,12.6033,22.9098,0,53.9771,1.15551,245988,66492.1,1.18051e+006,82500,1148.22,0.0566657,1,22.569,0.499166,0.0733134,82.5048,1128.16,0,0,0
10,0,2,2,2,12297.7,2,1,800,290.205,11.5492,23.0213,0,33.5262,0.476378,245988,161499,1.18051e+006,82500,922.052,0.0426131,0,22.6816,0.594711,0.0728787,65.8753,922.053,0,0,0
11,0,2,2,3,12297.7,2,1,400,137.605,12.9934,21.7426,0,34.1607,0.801181,245988,161499,3.94003e+006,82500,820.026,0.0496402,0,21.6266,0.828708,0.0769518,50.7786,820.026,0,0,0
12,0,2,3,0,12305,2,1,800,397.081,10.6033,21.5,0,94.9033,1.74606,245988,161499,3.94003e+006,82500,1967.46,0.063407,1,21.512,0.345926,0.0830962,91.7006,1215.07,0,0,0
13,0,2,3,1,12305,2,1,786.747,541.618,12.3639,22.5213,0,83.0443,1.95434,200000,66492.1,1.18051e+006,82500,1360,0.0700118,1,22.4429,0.424616,0.0803433,92.8761,1226.23,0,0,0
14,0,2,3,2,12305,2,1,769.428,610.785,12.918,22.6311,0,80.7377,1.66381,245988,161499,1.18051e+006,82500,1327.66,0.0700256,1,22.6481,0.594834,0.0820983,96.4871,1241.77,0,0,0
15,0,2,3,3,12305,2,1,700,819.008,14.3148,19.8525,0,92.818,2.01181,245988,161499,3.94003e+006,82500,1439.73,0.0701249,1,19.9579,0.642482,0.0842671,89.0481,1124.41,0,0,0
