GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
0,0,2,0,0,12272.1,2,1,700,74.5016,13.4459,23.141,0,2.22459,0.624016,245988,161499,3.94003e+006,82500,1107.88,0.0320883,0,23.0089,0.851684,0.0766383,75.4418,1058.17,0,0,0
1,0,2,0,1,12272.1,2,1,800,36.1227,13.2426,22.9508,0,0.860656,0.830709,245988,161499,3.94003e+006,82500,953.161,0.0544586,0,23.0266,0.907472,0.0816562,70.3944,953.161,0,0,0
2,0,2,0,2,12272.1,2,1,800,-4.26321,12.9361,22.8426,0,0,0.830709,245988,161499,3.94003e+006,82500,753.489,0.0645852,0,23.4008,0.961275,0.0951173,54.4468,753.489,0,0,0
3,0,2,0,3,12272.1,2,1,800,178.975,12.4131,20.2344,0,0,0.830709,245988,161499,3.94003e+006,82500,698.126,0.0620223,0,21.3126,1.10511,0.110896,51.1041,698.126,0,0,0
4,0,2,1,0,12286.7,2,1,700,167.342,12.7098,22.541,0,9.76721,0.978347,200000,161499,3.94003e+006,82500,1070.84,0.0444982,0,22.3887,0.587773,0.0777179,75.2728,1042.55,0,0,0
5,0,2,1,1,12286.7,2,1,800,119.103,12.4033,22.4344,0,5.81475,0.771653,245988,161499,3.94003e+006,82500,954.693,0.0541511,0,22.6238,0.625373,0.0867951,70.2175,954.693,0,0,0
6,0,2,1,2,12286.7,2,1,800,84.9103,12.2869,22.1328,0,1.42623,0.712598,245988,161499,1.18051e+006,82500,831.369,0.0649444,0,22.6534,0.758268,0.095812,60.8058,831.369,0,0,0
7,0,2,1,3,12286.7,2,1,800,54.41,12.0574,19.8377,0,4.05738,0.830709,245988,161499,3.94003e+006,82500,704.867,0.0530217,0,20.8261,0.962726,0.10956,52.2483,704.868,0,0,0
8,0,2,2,0,12297.7,2,1,745.783,359.159,11.9311,22.2492,0,20.0902,0.919291,245988,161499,3.94003e+006,82500,1175.34,0.0360506,0,22.1854,0.361509,0.080976,82.6367,1098.29,0,0,0
9,0,2,2,1,12297.7,2,1,783.133,327.521,12.6492,22.2443,0,25.0311,1.09646,245988,66492.1,1.18051e+006,82500,1148.22,0.0537697,1,22.569,0.499166,0.0915239,85.7309,1128.16,0,0,0
10,0,2,2,2,12297.7,2,1,800,290.205,11.923,22.1393,0,14.3033,0.683071,245988,161499,1.18051e+006,82500,922.052,0.0611023,1,22.6816,0.594711,0.0977864,68.8307,922.053,0,0,0
11,0,2,2,3,12297.7,2,1,400,137.605,12.3836,20.7295,0,20.1721,0.771653,245988,161499,3.94003e+006,82500,820.026,0.0478107,0,21.6266,0.828708,0.107865,54.3892,820.026,0,0,0
12,0,2,3,0,12305,2,1,800,397.081,10.8164,21.1557,0,59.9115,1.77559,245988,161499,3.94003e+006,82500,1967.46,0.0644792,1,21.512,0.345926,0.0932004,91.7076,1215.07,0,0,0
13,0,2,3,1,12305,2,1,786.747,541.618,12.3246,22.0492,0,55.2344,2.1025,200000,66492.1,1.18051e+006,82500,1360,0.0753196,1,22.4429,0.424616,0.0940367,93.6795,1226.23,0,0,0
14,0,2,3,2,12305,2,1,769.428,610.785,12.5115,21.9508,0,68.5754,1.81355,245988,161499,1.18051e+006,82500,1327.66,0.0763281,1,22.6481,0.594834,0.102996,96.1625,1241.77,0,0,0
15,0,2,3,3,12305,2,1,700,819.008,13.3082,19.2361,0,79.8557,2.04134,245988,161499,3.94003e+006,82500,1439.73,0.0711541,1,19.9579,0.642482,0.103488,85.8783,1124.41,0,0,0
