GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
0,0,2,0,0,12272.1,2,1,700,74.5016,10.141,22.923,0,167.589,2.4252,245988,161499,3.94003e+006,82500,1107.88,0.124709,1,23.0089,0.851684,0.0824156,113.404,1058.17,0,0,0
1,0,2,0,1,12272.1,2,1,800,36.1227,10.3311,22.9164,0,132.797,1.83465,245988,161499,3.94003e+006,82500,953.161,0.120274,1,23.0266,0.907472,0.0825986,101.898,953.161,0,0,0
2,0,2,0,2,12272.1,2,1,800,-4.26321,10.423,23.4164,0,103.311,1.71653,245988,161499,3.94003e+006,82500,753.489,0.133456,1,23.4008,0.961275,0.0785594,83.3351,753.489,0,0,0
3,0,2,0,3,12272.1,2,1,800,178.975,10.3016,21.5131,0,117.298,1.86417,245988,161499,3.94003e+006,82500,698.126,0.139183,1,21.3126,1.10511,0.0724111,75.5942,698.126,0,0,0
4,0,2,1,0,12286.7,2,1,700,167.342,9.8541,22.3672,0,176.756,2.77953,200000,161499,3.94003e+006,82500,1070.84,0.126421,1,22.3887,0.587773,0.0823525,109.11,1042.55,0,0,0
5,0,2,1,1,12286.7,2,1,800,119.103,9.66393,22.6639,0,146.446,1.80512,245988,161499,3.94003e+006,82500,954.693,0.126675,1,22.6238,0.625373,0.0804027,97.5871,954.693,0,0,0
6,0,2,1,2,12286.7,2,1,800,84.9103,10.0443,22.7508,0,125.592,1.45079,245988,161499,1.18051e+006,82500,831.369,0.132221,1,22.6534,0.758268,0.0779741,88.2949,831.369,0,0,0
7,0,2,1,3,12286.7,2,1,800,54.41,10.218,21.0525,0,114.992,2.2185,245988,161499,3.94003e+006,82500,704.867,0.141601,1,20.8261,0.962726,0.0730801,73.2022,704.868,0,0,0
8,0,2,2,0,12297.7,2,1,745.783,359.159,9.65902,22.2984,0,209.91,3.0748,245988,161499,3.94003e+006,82500,1175.34,0.120581,1,22.1854,0.361509,0.0796593,108.351,1098.29,0,0,0
9,0,2,2,1,12297.7,2,1,783.133,327.521,10.4738,22.7016,0,186.452,2.12992,245988,66492.1,1.18051e+006,82500,1148.22,0.10445,1,22.569,0.499166,0.0785819,108.659,1128.16,0,0,0
10,0,2,2,2,12297.7,2,1,800,290.205,10.159,22.8902,0,152.503,1.36221,245988,161499,1.18051e+006,82500,922.052,0.121852,1,22.6816,0.594711,0.0761353,91.2488,922.053,0,0,0
11,0,2,2,3,12297.7,2,1,400,137.605,11.0393,21.8836,0,129.075,1.83465,245988,161499,3.94003e+006,82500,820.026,0.113672,1,21.6266,0.828708,0.0734191,89.6996,820.026,0,0,0
12,0,2,3,0,12305,2,1,800,397.081,9.32787,21.8393,0,346.061,3.19291,245988,161499,3.94003e+006,82500,1967.46,0.115948,1,21.512,0.345926,0.0742089,106.078,1215.07,0,0,0
13,0,2,3,1,12305,2,1,786.747,541.618,10.8492,22.6344,0,222.066,2.8428,200000,66492.1,1.18051e+006,82500,1360,0.10184,1,22.4429,0.424616,0.0773703,112.075,1226.23,0,0,0
14,0,2,3,2,12305,2,1,769.428,610.785,11.3443,23.0295,0,201.251,2.32396,245988,161499,1.18051e+006,82500,1327.66,0.0978098,1,22.6481,0.594834,0.0718895,113.506,1241.77,0,0,0
15,0,2,3,3,12305,2,1,700,819.008,12.5541,20.3246,0,208.584,2.72047,245988,161499,3.94003e+006,82500,1439.73,0.0948264,1,19.9579,0.642482,0.0719963,97.1594,1124.41,0,0,0
