GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
0,0,2,0,0,12272.1,2,1,700,74.5016,11.941,24.5508,0,43.5754,0.801181,245988,161499,3.94003e+006,82500,1107.88,0.0411985,0,23.0089,0.851684,0.0479017,63.8286,1058.17,0,0,0
1,0,2,0,1,12272.1,2,1,800,36.1227,12.1262,24.6623,0,33.1246,0.624016,245988,161499,3.94003e+006,82500,953.161,0.0409085,0,23.0266,0.907472,0.0461559,60.8201,953.161,0,0,0
2,0,2,0,2,12272.1,2,1,800,-4.26321,12.4377,24.9934,0,15.4016,0.505906,245988,161499,3.94003e+006,82500,753.489,0.0393327,0,23.4008,0.961275,0.0464405,46.4344,753.489,0,0,0
3,0,2,0,3,12272.1,2,1,800,178.975,12.9393,22.6,0,8.03115,0.683071,245988,161499,3.94003e+006,82500,698.126,0.0509994,0,21.3126,1.10511,0.0504037,45.4662,698.126,0,0,0
4,0,2,1,0,12286.7,2,1,700,167.342,11.3016,23.4328,0,63.2787,1.06693,200000,161499,3.94003e+006,82500,1070.84,0.0485272,0,22.3887,0.587773,0.0577323,67.3256,1042.55,0,0,0
5,0,2,1,1,12286.7,2,1,800,119.103,10.9984,23.6623,0,58.4885,0.742126,245988,161499,3.94003e+006,82500,954.693,0.052079,0,22.6238,0.625373,0.0576425,63.4442,954.693,0,0,0
6,0,2,1,2,12286.7,2,1,800,84.9103,11.6951,23.7836,0,30.2131,0.44685,245988,161499,1.18051e+006,82500,831.369,0.0407248,0,22.6534,0.758268,0.0552636,53.5505,831.369,0,0,0
7,0,2,1,3,12286.7,2,1,800,54.41,12.7656,21.9033,0,22.5459,0.712598,245988,161499,3.94003e+006,82500,704.867,0.0454831,0,20.8261,0.962726,0.0550339,47.917,704.868,0,0,0
8,0,2,2,0,12297.7,2,1,745.783,359.159,10.8541,22.7361,0,86.3705,1.80512,245988,161499,3.94003e+006,82500,1175.34,0.0707889,1,22.1854,0.361509,0.068845,77.1866,1098.29,0,0,0
9,0,2,2,1,12297.7,2,1,783.133,327.521,12.1607,23.2508,0,80.4246,1.68701,245988,66492.1,1.18051e+006,82500,1148.22,0.08273,1,22.569,0.499166,0.0654366,81.5539,1128.16,0,0,0
10,0,2,2,2,12297.7,2,1,800,290.205,11.4328,23.4738,0,58.2984,0.505906,245988,161499,1.18051e+006,82500,922.052,0.0452544,0,22.6816,0.594711,0.0626759,64.4846,922.053,0,0,0
11,0,2,2,3,12297.7,2,1,400,137.605,13.2918,22.4885,0,50.5328,0.712598,245988,161499,3.94003e+006,82500,820.026,0.0441517,0,21.6266,0.828708,0.060012,50.3189,820.026,0,0,0
12,0,2,3,0,12305,2,1,800,397.081,10.5361,21.6328,0,149.477,2.36614,245988,161499,3.94003e+006,82500,1967.46,0.0859247,1,21.512,0.345926,0.0794983,96.1704,1215.07,0,0,0
13,0,2,3,1,12305,2,1,786.747,541.618,12.1541,22.8541,0,110.005,2.38249,200000,66492.1,1.18051e+006,82500,1360,0.0853498,1,22.4429,0.424616,0.0719074,94.446,1226.23,0,0,0
14,0,2,3,2,12305,2,1,769.428,610.785,12.9295,23.0754,0,101.277,1.90003,245988,161499,1.18051e+006,82500,1327.66,0.0799676,1,22.6481,0.594834,0.070798,97.6503,1241.77,0,0,0
15,0,2,3,3,12305,2,1,700,819.008,14.9033,20.4836,0,115.41,2.15945,245988,161499,3.94003e+006,82500,1439.73,0.075271,1,19.9579,0.642482,0.0682795,92.8213,1124.41,0,0,0
