GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
0,0,2,0,0,12272.1,2,1,700,74.5016,9.73443,22.8361,0,186.646,2.01181,245988,161499,3.94003e+006,82500,1107.88,0.103452,1,23.0089,0.851684,0.0848374,77.7066,1058.17,0,0,0
1,0,2,0,1,12272.1,2,1,800,36.1227,9.91148,22.9426,0,163.098,1.48031,245988,161499,3.94003e+006,82500,953.161,0.0970448,1,23.0266,0.907472,0.0818795,68.9463,953.161,0,0,0
2,0,2,0,2,12272.1,2,1,800,-4.26321,10.4967,23.6475,0,137.407,0.624016,245988,161499,3.94003e+006,82500,753.489,0.0485154,0,23.4008,0.961275,0.0727337,52.8319,753.489,0,0,0
3,0,2,0,3,12272.1,2,1,800,178.975,11.2131,21.9492,0,118.851,0.594488,245988,161499,3.94003e+006,82500,698.126,0.0443857,0,21.3126,1.10511,0.062615,49.1075,698.126,0,0,0
4,0,2,1,0,12286.7,2,1,700,167.342,9.77541,22.1426,0,148.813,2.24803,200000,161499,3.94003e+006,82500,1070.84,0.102247,1,22.3887,0.587773,0.0887543,79.0781,1042.55,0,0,0
5,0,2,1,1,12286.7,2,1,800,119.103,9.56393,22.5541,0,138.162,1.0374,245988,161499,3.94003e+006,82500,954.693,0.0728001,1,22.6238,0.625373,0.0834009,72.964,954.693,0,0,0
6,0,2,1,2,12286.7,2,1,800,84.9103,10.3443,22.7574,0,129.495,0.505906,245988,161499,1.18051e+006,82500,831.369,0.0461069,0,22.6534,0.758268,0.0778039,61.2541,831.369,0,0,0
7,0,2,1,3,12286.7,2,1,800,54.41,11.5311,21.2607,0,99.3164,1.00787,245988,161499,3.94003e+006,82500,704.867,0.0643297,0,20.8261,0.962726,0.0681804,52.2615,704.868,0,0,0
8,0,2,2,0,12297.7,2,1,745.783,359.159,9.93279,22.0574,0,127.266,2.92717,245988,161499,3.94003e+006,82500,1175.34,0.114791,1,22.1854,0.361509,0.0863222,86.4669,1098.29,0,0,0
9,0,2,2,1,12297.7,2,1,783.133,327.521,10.9262,22.559,0,125.902,1.92323,245988,66492.1,1.18051e+006,82500,1148.22,0.0943141,1,22.569,0.499166,0.082408,88.8053,1128.16,0,0,0
10,0,2,2,2,12297.7,2,1,800,290.205,10.5213,22.6754,0,110.856,0.830709,245988,161499,1.18051e+006,82500,922.052,0.0743089,1,22.6816,0.594711,0.0817853,71.9139,922.053,0,0,0
11,0,2,2,3,12297.7,2,1,400,137.605,12.3803,21.8672,0,92.9246,0.860236,245988,161499,3.94003e+006,82500,820.026,0.0532992,0,21.6266,0.828708,0.0738214,63.0576,820.026,0,0,0
12,0,2,3,0,12305,2,1,800,397.081,10.1738,21.4639,0,184.887,2.51378,245988,161499,3.94003e+006,82500,1967.46,0.091286,1,21.512,0.345926,0.0841012,104.784,1215.07,0,0,0
13,0,2,3,1,12305,2,1,786.747,541.618,11.5836,22.3754,0,112.879,2.61818,200000,66492.1,1.18051e+006,82500,1360,0.0937932,1,22.4429,0.424616,0.0843472,101.706,1226.23,0,0,0
14,0,2,3,2,12305,2,1,769.428,610.785,12.359,22.6803,0,106.002,1.95697,245988,161499,1.18051e+006,82500,1327.66,0.0823643,1,22.6481,0.594834,0.0807634,102.96,1241.77,0,0,0
15,0,2,3,3,12305,2,1,700,819.008,14.1213,20.0852,0,121.951,2.24803,245988,161499,3.94003e+006,82500,1439.73,0.0783587,1,19.9579,0.642482,0.0779756,95.8555,1124.41,0,0,0
