GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
0,0,2,0,0,12272.1,2,1,700,74.5016,10.4902,23.0902,0,169.311,2.69094,245988,161499,3.94003e+006,82500,1107.88,0.138374,1,23.0089,0.851684,0.0779476,111.765,1058.17,0,0,0
1,0,2,0,1,12272.1,2,1,800,36.1227,10.659,23.2098,0,159.987,2.15945,245988,161499,3.94003e+006,82500,953.161,0.141567,1,23.0266,0.907472,0.0749018,96.9622,953.161,0,0,0
2,0,2,0,2,12272.1,2,1,800,-4.26321,11.0607,23.8262,0,137.9,1.30315,245988,161499,3.94003e+006,82500,753.489,0.101316,1,23.4008,0.961275,0.068528,79.4641,753.489,0,0,0
3,0,2,0,3,12272.1,2,1,800,178.975,11.559,22.1426,0,124.044,1.5689,245988,161499,3.94003e+006,82500,698.126,0.117137,1,21.3126,1.10511,0.0587049,72.0785,698.126,0,0,0
4,0,2,1,0,12286.7,2,1,700,167.342,10.5213,22.4197,0,153.674,2.72047,200000,161499,3.94003e+006,82500,1070.84,0.123735,1,22.3887,0.587773,0.0809249,102.666,1042.55,0,0,0
5,0,2,1,1,12286.7,2,1,800,119.103,10.4098,22.9328,0,142.159,1.86417,245988,161499,3.94003e+006,82500,954.693,0.130819,1,22.6238,0.625373,0.0735106,92.0701,954.693,0,0,0
6,0,2,1,2,12286.7,2,1,800,84.9103,10.9164,23.1492,0,147.092,1.24409,245988,161499,1.18051e+006,82500,831.369,0.113384,1,22.6534,0.758268,0.0682782,83.0659,831.369,0,0,0
7,0,2,1,3,12286.7,2,1,800,54.41,11.8197,21.6656,0,124.685,1.80512,245988,161499,3.94003e+006,82500,704.867,0.115215,1,20.8261,0.962726,0.0595719,69.4396,704.868,0,0,0
8,0,2,2,0,12297.7,2,1,745.783,359.159,10.5689,22.3508,0,159.489,2.63189,245988,161499,3.94003e+006,82500,1175.34,0.103211,1,22.1854,0.361509,0.0782784,100.269,1098.29,0,0,0
9,0,2,2,1,12297.7,2,1,783.133,327.521,11.482,23.0639,0,152.48,1.92323,245988,66492.1,1.18051e+006,82500,1148.22,0.0943141,1,22.569,0.499166,0.0696426,101.601,1128.16,0,0,0
10,0,2,2,2,12297.7,2,1,800,290.205,11.082,23.2705,0,134.531,1.15551,245988,161499,1.18051e+006,82500,922.052,0.103363,1,22.6816,0.594711,0.0670699,85.2247,922.053,0,0,0
11,0,2,2,3,12297.7,2,1,400,137.605,12.4525,22.4787,0,119.623,1.48031,245988,161499,3.94003e+006,82500,820.026,0.0917185,1,21.6266,0.828708,0.0602091,82.5477,820.026,0,0,0
12,0,2,3,0,12305,2,1,800,397.081,10.5934,21.8885,0,227.695,2.72047,245988,161499,3.94003e+006,82500,1967.46,0.0987919,1,21.512,0.345926,0.0730022,106.982,1215.07,0,0,0
13,0,2,3,1,12305,2,1,786.747,541.618,11.9869,22.9934,0,156.792,2.60131,200000,66492.1,1.18051e+006,82500,1360,0.0931887,1,22.4429,0.424616,0.0686438,109.289,1226.23,0,0,0
14,0,2,3,2,12305,2,1,769.428,610.785,12.6885,23.4098,0,155.477,2.09618,245988,161499,1.18051e+006,82500,1327.66,0.0882229,1,22.6481,0.594834,0.0633297,108.22,1241.77,0,0,0
15,0,2,3,3,12305,2,1,700,819.008,13.9852,20.7131,0,148.621,2.4252,245988,161499,3.94003e+006,82500,1439.73,0.0845341,1,19.9579,0.642482,0.0632507,99.1208,1124.41,0,0,0
