GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
0,0,2,0,0,12272.1,2,1,700,74.5016,10.423,23.5639,0,143.589,1.39173,245988,161499,3.94003e+006,82500,1107.88,0.0715659,1,23.0089,0.851684,0.0665606,65.89,1058.17,0,0,0
1,0,2,0,1,12272.1,2,1,800,36.1227,10.8033,23.8508,0,120.993,0.919291,245988,161499,3.94003e+006,82500,953.161,0.0602658,0,23.0266,0.907472,0.0604923,61.0008,953.161,0,0,0
2,0,2,0,2,12272.1,2,1,800,-4.26321,11.3,24.3426,0,82.3295,0.712598,245988,161499,3.94003e+006,82500,753.489,0.0554025,0,23.4008,0.961275,0.0576916,45.9475,753.489,0,0,0
3,0,2,0,3,12272.1,2,1,800,178.975,11.9951,22.4361,0,64.3033,0.683071,245988,161499,3.94003e+006,82500,698.126,0.0509994,0,21.3126,1.10511,0.0532347,44.4047,698.126,0,0,0
4,0,2,1,0,12286.7,2,1,700,167.342,9.96885,22.6656,0,143.485,1.98228,200000,161499,3.94003e+006,82500,1070.84,0.0901603,1,22.3887,0.587773,0.0745563,70.324,1042.55,0,0,0
5,0,2,1,1,12286.7,2,1,800,119.103,9.87049,23.0656,0,131.249,0.948819,245988,161499,3.94003e+006,82500,954.693,0.0665838,1,22.6238,0.625373,0.0703278,65.9184,954.693,0,0,0
6,0,2,1,2,12286.7,2,1,800,84.9103,10.659,23.2443,0,106.102,0.624016,245988,161499,1.18051e+006,82500,831.369,0.0568712,0,22.6534,0.758268,0.0661481,54.5045,831.369,0,0,0
7,0,2,1,3,12286.7,2,1,800,54.41,11.8295,21.5311,0,80.8951,1.0374,245988,161499,3.94003e+006,82500,704.867,0.0662144,0,20.8261,0.962726,0.062302,48.0956,704.868,0,0,0
8,0,2,2,0,12297.7,2,1,745.783,359.159,9.82951,22.2705,0,141.431,2.33661,245988,161499,3.94003e+006,82500,1175.34,0.0916319,1,22.1854,0.361509,0.0804027,80.5464,1098.29,0,0,0
9,0,2,2,1,12297.7,2,1,783.133,327.521,11.1508,22.8656,0,135.521,1.86417,245988,66492.1,1.18051e+006,82500,1148.22,0.0914181,1,22.569,0.499166,0.074403,83.8787,1128.16,0,0,0
10,0,2,2,2,12297.7,2,1,800,290.205,10.5082,22.9525,0,120.846,0.830709,245988,161499,1.18051e+006,82500,922.052,0.0743089,1,22.6816,0.594711,0.0745706,66.6285,922.053,0,0,0
11,0,2,2,3,12297.7,2,1,400,137.605,12.3623,22.0311,0,93.7279,1.27362,245988,161499,3.94003e+006,82500,820.026,0.0789121,1,21.6266,0.828708,0.0698957,54.8678,820.026,0,0,0
12,0,2,3,0,12305,2,1,800,397.081,9.75738,21.7033,0,192.041,1.83465,245988,161499,3.94003e+006,82500,1967.46,0.0666238,1,21.512,0.345926,0.0776521,103.783,1215.07,0,0,0
13,0,2,3,1,12305,2,1,786.747,541.618,11.4639,22.5869,0,149.411,2.20479,200000,66492.1,1.18051e+006,82500,1360,0.0789841,1,22.4429,0.424616,0.0786062,98.0942,1226.23,0,0,0
14,0,2,3,2,12305,2,1,769.428,610.785,12.0213,22.8607,0,141.366,2.04556,245988,161499,1.18051e+006,82500,1327.66,0.0860925,1,22.6481,0.594834,0.0760518,100.231,1241.77,0,0,0
15,0,2,3,3,12305,2,1,700,819.008,13.9951,19.9525,0,163.859,2.80906,245988,161499,3.94003e+006,82500,1439.73,0.0979141,1,19.9579,0.642482,0.0815045,95.8392,1124.41,0,0,0
