GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
0,0,2,0,0,12272.1,2,1,700,74.5016,13.3426,21.6803,0,0.918033,1.83465,245988,161499,3.94003e+006,82500,1107.88,0.0943416,1,23.0089,0.851684,0.124709,95.1626,1058.17,0,0,0
1,0,2,0,1,12272.1,2,1,800,36.1227,13.5295,21.5934,0,0.629508,1.18504,245988,161499,3.94003e+006,82500,953.161,0.0776874,1,23.0266,0.907472,0.128378,85.7406,953.161,0,0,0
2,0,2,0,2,12272.1,2,1,800,-4.26321,13.0246,21.8,0,0,1.27362,245988,161499,3.94003e+006,82500,753.489,0.0990205,1,23.4008,0.961275,0.134646,67.867,753.489,0,0,0
3,0,2,0,3,12272.1,2,1,800,178.975,12.1066,19.5082,0,1.38197,1.18504,245988,161499,3.94003e+006,82500,698.126,0.0884773,1,21.3126,1.10511,0.141269,62.2261,698.126,0,0,0
4,0,2,1,0,12286.7,2,1,700,167.342,12.5016,21.4852,0,2.8082,1.65748,200000,161499,3.94003e+006,82500,1070.84,0.0753872,1,22.3887,0.587773,0.110498,95.0379,1042.55,0,0,0
5,0,2,1,1,12286.7,2,1,800,119.103,12.4049,21.5984,0,4.51639,1.15551,245988,161499,3.94003e+006,82500,954.693,0.0810886,1,22.6238,0.625373,0.114691,86.5855,954.693,0,0,0
6,0,2,1,2,12286.7,2,1,800,84.9103,12.0902,21.4066,0,6.40328,1.30315,245988,161499,1.18051e+006,82500,831.369,0.118766,1,22.6534,0.758268,0.122054,75.5378,831.369,0,0,0
7,0,2,1,3,12286.7,2,1,800,54.41,11.4459,19.318,0,6.87705,1.30315,245988,161499,3.94003e+006,82500,704.867,0.0831763,1,20.8261,0.962726,0.130282,63.0224,704.868,0,0,0
8,0,2,2,0,12297.7,2,1,745.783,359.159,11.641,21.6869,0,18.541,1.74606,245988,161499,3.94003e+006,82500,1175.34,0.0684731,1,22.1854,0.361509,0.097669,101.261,1098.29,0,0,0
9,0,2,2,1,12297.7,2,1,783.133,327.521,12.3639,21.8,0,33.7213,1.50984,245988,66492.1,1.18051e+006,82500,1148.22,0.0740419,1,22.569,0.499166,0.106133,102.474,1128.16,0,0,0
10,0,2,2,2,12297.7,2,1,800,290.205,11.6869,21.8115,0,19.5262,1.21457,245988,161499,1.18051e+006,82500,922.052,0.108646,1,22.6816,0.594711,0.109079,84.2791,922.053,0,0,0
11,0,2,2,3,12297.7,2,1,400,137.605,11.7361,20.423,0,23.0344,2.04134,245988,161499,3.94003e+006,82500,820.026,0.126479,1,21.6266,0.828708,0.11947,77.0717,820.026,0,0,0
12,0,2,3,0,12305,2,1,800,397.081,10.3197,21.1902,0,71.2082,2.12992,245988,161499,3.94003e+006,82500,1967.46,0.0773465,1,21.512,0.345926,0.092137,101.581,1215.07,0,0,0
13,0,2,3,1,12305,2,1,786.747,541.618,11.9869,21.9016,0,61.2721,2.16472,200000,66492.1,1.18051e+006,82500,1360,0.0775485,1,22.4429,0.424616,0.098777,105.995,1226.23,0,0,0
14,0,2,3,2,12305,2,1,769.428,610.785,12.1443,21.9115,0,77.3377,2.09196,245988,161499,1.18051e+006,82500,1327.66,0.0880454,1,22.6481,0.594834,0.104356,106.456,1241.77,0,0,0
15,0,2,3,3,12305,2,1,700,819.008,12.8656,19.2229,0,93.4852,2.63189,245988,161499,3.94003e+006,82500,1439.73,0.0917387,1,19.9579,0.642482,0.103941,90.7598,1124.41,0,0,0
