GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,3.22283e+012
0,1,1.62821e+013
1,0,2.71912e+012
1,1,1.47983e+013
2,0,3.36424e+012
2,1,2.53861e+013
3,0,3.06777e+012
3,1,2.00626e+013
4,0,3.5025e+012
4,1,2.33112e+013
5,0,3.24146e+012
5,1,2.15956e+013
6,0,3.64323e+012
6,1,3.07527e+013
7,0,3.29185e+012
7,1,2.59312e+013
8,0,2.90038e+012
8,1,1.17201e+013
9,0,2.65341e+012
9,1,1.25496e+013
10,0,3.72449e+012
10,1,2.85905e+013
11,0,3.14892e+012
11,1,1.30893e+013
12,0,3.7519e+012
12,1,2.17676e+013
13,0,3.1975e+012
13,1,1.83213e+013
14,0,2.80452e+012
14,1,1.09333e+013
15,0,3.03823e+012
15,1,1.40599e+013
