GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,3.36338e+012
0,1,1.44945e+013
1,0,3.69179e+012
1,1,2.25983e+013
2,0,3.36477e+012
2,1,2.19916e+013
3,0,3.4397e+012
3,1,2.12816e+013
4,0,3.78109e+012
4,1,2.29318e+013
5,0,3.77256e+012
5,1,2.71759e+013
6,0,3.40262e+012
6,1,2.76403e+013
7,0,3.49448e+012
7,1,2.75877e+013
8,0,3.72178e+012
8,1,2.16449e+013
9,0,3.82701e+012
9,1,2.50929e+013
10,0,3.53486e+012
10,1,2.52161e+013
11,0,3.42427e+012
11,1,2.15468e+013
12,0,4.01142e+012
12,1,3.08614e+013
13,0,3.74087e+012
13,1,2.4194e+013
14,0,3.18359e+012
14,1,1.78617e+013
15,0,3.16087e+012
15,1,1.48504e+013
