GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,2.81175e+012
0,1,1.18193e+013
1,0,3.41683e+012
1,1,2.57993e+013
2,0,2.94424e+012
2,1,1.98898e+013
3,0,2.85537e+012
3,1,2.02947e+013
4,0,3.43158e+012
4,1,2.08886e+013
5,0,3.32847e+012
5,1,2.71527e+013
6,0,3.11634e+012
6,1,2.69548e+013
7,0,2.99018e+012
7,1,2.62582e+013
8,0,3.59154e+012
8,1,2.53103e+013
9,0,3.64569e+012
9,1,2.9416e+013
10,0,3.25009e+012
10,1,2.43741e+013
11,0,3.13804e+012
11,1,2.3886e+013
12,0,3.77053e+012
12,1,3.23711e+013
13,0,3.65885e+012
13,1,2.84398e+013
14,0,3.02272e+012
14,1,1.94009e+013
15,0,3.47467e+012
15,1,2.31816e+013
