GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,2.27781e+012
0,1,9.65238e+012
1,0,1.76327e+012
1,1,5.61531e+012
2,0,2.7395e+012
2,1,1.898e+013
3,0,2.41558e+012
3,1,1.53515e+013
4,0,2.67382e+012
4,1,1.19571e+013
5,0,2.13192e+012
5,1,9.82427e+012
6,0,2.83736e+012
6,1,2.22262e+013
7,0,2.45389e+012
7,1,1.81762e+013
8,0,2.63092e+012
8,1,1.20854e+013
9,0,1.63986e+012
9,1,5.20254e+012
10,0,2.95032e+012
10,1,2.35422e+013
11,0,2.14601e+012
11,1,7.95775e+012
12,0,3.26548e+012
12,1,1.88414e+013
13,0,2.96896e+012
13,1,1.36456e+013
14,0,2.89167e+012
14,1,1.2386e+013
15,0,3.1629e+012
15,1,1.89693e+013
