GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,3.62534e+012
0,1,1.61698e+013
1,0,3.68791e+012
1,1,2.07948e+013
2,0,3.66323e+012
2,1,2.37531e+013
3,0,3.74328e+012
3,1,2.18911e+013
4,0,4.01657e+012
4,1,2.4544e+013
5,0,3.93113e+012
5,1,2.61096e+013
6,0,3.72157e+012
6,1,2.90891e+013
7,0,3.8408e+012
7,1,2.90492e+013
8,0,3.72368e+012
8,1,1.77764e+013
9,0,3.76182e+012
9,1,2.18971e+013
10,0,3.80722e+012
10,1,2.6724e+013
11,0,3.54595e+012
11,1,1.93962e+013
12,0,4.22639e+012
12,1,2.87287e+013
13,0,3.77664e+012
13,1,2.28513e+013
14,0,3.22504e+012
14,1,1.53556e+013
15,0,3.25104e+012
15,1,1.50093e+013
