GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,3.50845e+012
0,1,1.63755e+013
1,0,3.26912e+012
1,1,1.75656e+013
2,0,3.72922e+012
2,1,2.50243e+013
3,0,3.64096e+012
3,1,2.16588e+013
4,0,3.84538e+012
4,1,2.43951e+013
5,0,3.72836e+012
5,1,2.38375e+013
6,0,3.81435e+012
6,1,3.02158e+013
7,0,3.80924e+012
7,1,2.86244e+013
8,0,3.41352e+012
8,1,1.47365e+013
9,0,3.24131e+012
9,1,1.72496e+013
10,0,3.83665e+012
10,1,2.75382e+013
11,0,3.6029e+012
11,1,1.77596e+013
12,0,3.99337e+012
12,1,2.47775e+013
13,0,3.55323e+012
13,1,2.05742e+013
14,0,3.05414e+012
14,1,1.29442e+013
15,0,3.18686e+012
15,1,1.4844e+013
