GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,2.20212e+012
0,1,9.67198e+012
1,0,1.83694e+012
1,1,5.96775e+012
2,0,2.72414e+012
2,1,2.04247e+013
3,0,2.36895e+012
3,1,1.59458e+013
4,0,2.54837e+012
4,1,1.21832e+013
5,0,2.14927e+012
5,1,1.103e+013
6,0,2.85429e+012
6,1,2.35321e+013
7,0,2.34702e+012
7,1,1.82711e+013
8,0,2.38513e+012
8,1,1.02781e+013
9,0,1.74162e+012
9,1,5.66903e+012
10,0,2.90562e+012
10,1,2.49038e+013
11,0,1.95782e+012
11,1,6.97868e+012
12,0,3.29023e+012
12,1,1.87598e+013
13,0,2.92315e+012
13,1,1.3936e+013
14,0,2.73522e+012
14,1,1.15812e+013
15,0,2.94816e+012
15,1,1.75867e+013
