GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,2.90001e+012
0,1,1.19399e+013
1,0,3.41387e+012
1,1,2.35697e+013
2,0,3.16236e+012
2,1,2.09915e+013
3,0,3.10812e+012
3,1,2.07858e+013
4,0,3.51179e+012
4,1,2.1352e+013
5,0,3.43206e+012
5,1,2.71556e+013
6,0,3.08869e+012
6,1,2.65813e+013
7,0,3.16061e+012
7,1,2.66094e+013
8,0,3.67178e+012
8,1,2.40748e+013
9,0,3.77349e+012
9,1,2.79371e+013
10,0,3.28495e+012
10,1,2.43488e+013
11,0,3.27161e+012
11,1,2.3199e+013
12,0,3.84983e+012
12,1,3.18053e+013
13,0,3.67436e+012
13,1,2.59823e+013
14,0,2.9545e+012
14,1,1.79693e+013
15,0,3.25543e+012
15,1,1.7772e+013
