GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,2.37212e+012
0,1,1.23205e+013
1,0,2.19244e+012
1,1,9.66594e+012
2,0,2.79613e+012
2,1,2.40631e+013
3,0,2.3023e+012
3,1,1.77505e+013
4,0,2.81848e+012
4,1,1.7104e+013
5,0,2.4597e+012
5,1,1.59978e+013
6,0,3.05827e+012
6,1,2.83664e+013
7,0,2.39798e+012
7,1,2.0446e+013
8,0,2.07483e+012
8,1,8.0082e+012
9,0,1.94345e+012
9,1,7.65748e+012
10,0,3.15233e+012
10,1,2.82927e+013
11,0,2.03437e+012
11,1,7.43571e+012
12,0,3.29421e+012
12,1,1.97533e+013
13,0,2.75755e+012
13,1,1.44012e+013
14,0,2.56578e+012
14,1,1.12197e+013
15,0,2.76517e+012
15,1,1.63514e+013
