GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,2.62309e+012
0,1,1.43065e+013
1,0,2.37252e+012
1,1,1.24388e+013
2,0,2.9517e+012
2,1,2.52634e+013
3,0,2.493e+012
3,1,1.83979e+013
4,0,3.08034e+012
4,1,2.06181e+013
5,0,2.75614e+012
5,1,1.90435e+013
6,0,3.2605e+012
6,1,2.98082e+013
7,0,2.67942e+012
7,1,2.23556e+013
8,0,2.42858e+012
8,1,9.87215e+012
9,0,2.28617e+012
9,1,9.92958e+012
10,0,3.39623e+012
10,1,2.89529e+013
11,0,2.31617e+012
11,1,8.15457e+012
12,0,3.47573e+012
12,1,2.00478e+013
13,0,2.83973e+012
13,1,1.63167e+013
14,0,2.59791e+012
14,1,1.05329e+013
15,0,2.86578e+012
15,1,1.56642e+013
