Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
24805.7,1,1000,H,Ecto,2.36178
24805.7,1,10000,H,Ecto,4.94149e+007
24805.7,1,10000,H,Endo,112352
24805.7,1,100000,H,Endo,69465.7
24805.7,1,1000,O,Ecto,0.449388
24805.7,1,10000,O,Ecto,1.30984e+006
24805.7,1,1000,O,Endo,143018
24805.7,1,10000,O,Endo,2.34086e+006
24805.7,1,1000,C,Ecto,1563.6
24805.7,1,10000,C,Ecto,1.74028e+006
24805.7,1,10000,C,Endo,1.79874e+009
25836.5,1,1000,H,Ecto,64794.9
25836.5,1,10000,H,Ecto,7.93898e+009
25836.5,1,1000,H,Endo,643242
25836.5,1,10000,H,Endo,2.01281e+008
25836.5,1,1000,O,Ecto,5377.52
25836.5,1,10000,O,Ecto,1.63402e+009
25836.5,1,1000,O,Endo,4.46758e+009
25836.5,1,10000,O,Endo,5.24648e+008
25836.5,1,1000,C,Ecto,1.96981e+007
25836.5,1,10000,C,Ecto,2.90529e+009
25836.5,1,10000,C,Endo,5.03486e+006
25369.9,1,100,H,Ecto,27527.8
25369.9,1,1000,H,Ecto,1.50841e+007
25369.9,1,10000,H,Ecto,192.123
25369.9,1,100,H,Endo,7.41453e+006
25369.9,1,1000,H,Endo,6.60959e+010
25369.9,1,10000,H,Endo,1.21276e+010
25369.9,1,100,O,Ecto,6.29903e+006
25369.9,1,1000,O,Ecto,6.72281e+007
25369.9,1,10000,O,Ecto,466.054
25369.9,1,1000,O,Endo,4.68853e+010
25369.9,1,10000,O,Endo,1.50913e+008
25369.9,1,100,C,Ecto,8.54879e+008
25369.9,1,1000,C,Ecto,3.52342e+009
25369.9,1,10000,C,Ecto,1.13181e+006
25369.9,1,10000,C,Endo,1.61182e+006
13521.7,2,100,H,Ecto,36.898
13521.7,2,1000,H,Ecto,48955.2
13521.7,2,100,H,Endo,58035.5
13521.7,2,1000,H,Endo,9.32678e+007
13521.7,2,10000,H,Endo,5.44088e+007
13521.7,2,100,O,Ecto,30253.4
13521.7,2,1000,O,Ecto,138323
13521.7,2,100,O,Endo,234577
13521.7,2,1000,O,Endo,1.05159e+008
13521.7,2,10000,O,Endo,266363
13521.7,2,100,C,Ecto,1.48163e+007
13521.7,2,1000,C,Ecto,1.2332e+007
13521.7,2,10000,C,Ecto,46327.1
13521.7,2,10000,C,Endo,2.21993e+006
7011.96,2,100,H,Ecto,1939.68
7011.96,2,1000,H,Ecto,135220
7011.96,2,100,H,Endo,302281
7011.96,2,1000,H,Endo,2.25862e+008
7011.96,2,10000,H,Endo,4.14027e+007
7011.96,2,100,O,Ecto,181382
7011.96,2,1000,O,Ecto,139700
7011.96,2,100,O,Endo,1.26546e+006
7011.96,2,1000,O,Endo,1.60099e+008
7011.96,2,10000,O,Endo,421414
7011.96,2,100,C,Ecto,7.06513e+007
7011.96,2,1000,C,Ecto,5.03728e+007
7011.96,2,10000,C,Ecto,26872.2
7011.96,2,10000,C,Endo,1.01114e+007
263.68,2,10,H,Ecto,130759
263.68,2,100,H,Ecto,6523.75
263.68,2,1000,H,Ecto,489.694
263.68,2,10,H,Endo,1.73014e+009
263.68,2,100,H,Endo,0.0148968
263.68,2,1000,H,Endo,14385.1
263.68,2,10,O,Ecto,1.15716e+007
263.68,2,100,O,Ecto,2.11718e+008
263.68,2,100,O,Endo,6.85438e+009
263.68,2,100,C,Ecto,5.10347e+010
263.68,2,1000,C,Ecto,54049.9
3413.69,2,100,H,Ecto,597130
3413.69,2,1000,H,Ecto,4.08943e+006
3413.69,2,100,H,Endo,8.67254e+006
3413.69,2,1000,H,Endo,1.48759e+009
3413.69,2,10000,H,Endo,7.38085e+008
3413.69,2,100,O,Ecto,7.65533e+006
3413.69,2,1000,O,Ecto,83145
3413.69,2,100,O,Endo,4.62693e+009
3413.69,2,1000,O,Endo,2.36871e+009
3413.69,2,10000,O,Endo,956323
3413.69,2,100,C,Ecto,4.98027e+009
3413.69,2,1000,C,Ecto,1.10904e+009
3413.69,2,10000,C,Ecto,5035.84
3413.69,2,10000,C,Endo,1.69421e+006
44769.6,2,1000,H,Ecto,29952.6
44769.6,2,10000,H,Ecto,2985.42
44769.6,2,1000,H,Endo,6.07636e+007
44769.6,2,10000,H,Endo,1.45108e+007
44769.6,2,100,O,Ecto,17336.2
44769.6,2,1000,O,Ecto,474276
44769.6,2,10000,O,Ecto,4678.07
44769.6,2,1000,O,Endo,1.83095e+008
44769.6,2,10000,O,Endo,1.12948e+006
44769.6,2,1000,C,Ecto,2.70694e+007
44769.6,2,10000,C,Ecto,1.43681e+006
44769.6,2,10000,C,Endo,1.47363e+008
13521.7,2,100,H,Ecto,209766
13521.7,2,1000,H,Ecto,386681
13521.7,2,10,H,Endo,25566.7
13521.7,2,100,H,Endo,1.58783e+006
13521.7,2,1000,H,Endo,1.05344e+008
13521.7,2,10000,H,Endo,5.30561e+007
13521.7,2,100,O,Ecto,1.86574e+007
13521.7,2,1000,O,Ecto,3756.57
13521.7,2,100,O,Endo,2.61632e+008
13521.7,2,1000,O,Endo,1.23382e+008
13521.7,2,10000,O,Endo,38393.6
13521.7,2,100,C,Ecto,5.59695e+008
13521.7,2,1000,C,Ecto,1.43938e+008
13521.7,2,10000,C,Ecto,12906.7
13521.7,2,10000,C,Endo,59197.9
9069.94,2,10,H,Ecto,9310.28
9069.94,2,100,H,Ecto,2.9191e+007
9069.94,2,1000,H,Ecto,1.35006e+006
9069.94,2,10,H,Endo,2.93345e+007
9069.94,2,100,H,Endo,6.25316e+006
9069.94,2,1000,H,Endo,2.82897e+007
9069.94,2,10000,H,Endo,5.47847e+006
9069.94,2,100,O,Ecto,7.55954e+008
9069.94,2,1000,O,Ecto,78.9334
9069.94,2,100,O,Endo,2.76151e+010
9069.94,2,1000,O,Endo,1.43431e+009
9069.94,2,100,C,Ecto,1.11091e+009
9069.94,2,1000,C,Ecto,1.11759e+009
2457.55,2,10,H,Ecto,1.02886e+006
2457.55,2,100,H,Ecto,4.08621e+007
2457.55,2,1000,H,Ecto,816974
2457.55,2,10,H,Endo,1.34556e+009
2457.55,2,100,H,Endo,116.802
2457.55,2,1000,H,Endo,2.88121e+007
2457.55,2,100,O,Ecto,1.02608e+009
2457.55,2,1000,O,Ecto,0.91441
2457.55,2,100,O,Endo,1.51383e+010
2457.55,2,100,C,Ecto,6.24884e+009
2457.55,2,1000,C,Ecto,6.27175e+006
531.856,2,1,H,Ecto,3.15882
531.856,2,10,H,Ecto,1.46109e+008
531.856,2,100,H,Ecto,13.3747
531.856,2,10,H,Endo,9.58601e+008
531.856,2,1000,H,Endo,833.924
531.856,2,10,O,Ecto,4.53749e+007
531.856,2,100,O,Ecto,1.77096e+009
531.856,2,100,O,Endo,3.17891e+009
531.856,2,10,C,Ecto,0.03612
531.856,2,100,C,Ecto,3.41547e+009
265.655,2,1,H,Ecto,294.392
265.655,2,10,H,Ecto,617096
265.655,2,10,H,Endo,1.12561
265.655,2,1,O,Ecto,1.47621e-008
265.655,2,10,O,Ecto,1.40389e+006
265.655,2,100,O,Ecto,11.1587
265.655,2,100,O,Endo,0.805978
265.655,2,10,C,Ecto,0.413685
265.655,2,100,C,Ecto,178238
