GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,455902,3.50663e+009,0,0,0
0,0,36593,2.14372e+008,0,0,0
0,0,11184.4,1.22414e+008,0,0,0
0,0,348711,9.04117e+008,0,0,0
0,0,1504.98,2.31969e+006,0,0,0
0,0,44.6019,3.2211e+008,0,0,0
0,0,2594.96,8.9587e+009,0,0,0
0,0,453.483,5.60724e+009,0,0,0
0,0,1493.45,2.03687e+010,0,0,0
0,0,442.04,1.08936e+007,0,0,0
0,0,127550,2.20966e+009,0,0,0
0,0,12009.9,8.52638e+009,0,0,0
0,0,36522.3,9.24442e+008,0,0,0
0,0,88.5804,9.04306e+006,0,0,0
0,0,42.1353,5.5e+007,0,0,0
0,0,43.909,4.6143e+008,0,0,0
0,0,1501.74,5.27966e+008,0,0,0
0,0,6270.87,1.49452e+007,0,0,0
0,1,24805.7,0,236793,74038.2,6.43601e+007
0,1,25836.5,0,3.85917e+007,1.19718e+007,3.98801e+010
0,1,25369.9,0,5.41778e+010,1.69858e+010,4.22028e+010
0,1,24753.2,0,8.16387e+008,4.40972e+008,5.51687e+009
0,2,13521.7,5.85335e+007,3.22602e+006,1.70587e+008,2.18346e+007
0,2,7011.96,3.98063e+007,3.95534e+006,9.56122e+007,1.68461e+007
0,2,263.68,1.1011e+010,4.23492e+006,5.68951e+006,3.80992e+006
0,2,3413.69,2.2861e+009,7.10277e+007,5.82259e+008,1.12457e+009
0,2,44769.6,1.09425e+009,5.3566e+006,5.85132e+008,1.2057e+008
0,2,13521.7,4.44647e+008,4.9035e+007,5.35565e+008,1.56327e+008
0,2,9069.94,3.01511e+009,3.44414e+007,1.20605e+008,1.28325e+008
0,2,2457.55,1.08227e+011,1.26902e+008,1.471e+009,2.03573e+009
0,2,531.856,1.09717e+010,911207,1.1977e+006,470881
0,2,265.655,4.58455e+008,690407,24434.7,398543
0,2,3580.85,9.72017e+009,1.35459e+007,1.45706e+008,7.65214e+008
0,2,13521.7,4.2933e+008,4.40567e+006,5.72402e+007,1.98581e+008
0,2,7011.96,3.57978e+009,8.61078e+006,7.15713e+007,7.78438e+007
0,2,8547.5,7.09903e+009,1.06347e+007,3.43504e+007,1.46057e+008
0,2,3413.69,1.0271e+009,49418.1,31029.5,44826.4
0,2,268.573,1.29786e+008,161425,1.39266e-008,264.143
0,2,7011.96,4.4855e+008,118375,136103,96454.4
0,3,246.996,8.34725e+007,0,0,0
0,3,110.696,3.18668e+008,0,0,0
0,3,36.8055,3.14344e+007,0,0,0
0,3,62.7695,3.53648e+007,0,0,0
0,3,3.118,1.04007e+007,0,0,0
0,3,2.8038,3.13051e+008,0,0,0
0,3,381.107,1.41025e+008,0,0,0
0,4,798.043,0,5.98607e+008,5.35927e+009,1.39246e+010
0,4,111.161,0,1.35309e+007,66208.9,3.30891e+006
0,4,79.2197,0,0,0,0
0,4,2001,0,7.32091e+008,4.57004e+009,3.50587e+009
0,4,13.8591,0,0,0,0
0,4,720.999,0,1.55147e+006,2.90824e+006,1.20478e+006
0,4,447.827,0,2.40894e+006,5.0797,11320.2
0,5,1230.76,5.16698e+008,355528,1.31324e+006,811492
0,5,212.924,1.52482e+009,579541,1.05198e+006,461888
0,5,212.48,5230.61,23.5893,0.0134345,1.96027
0,5,2.21696,47.0237,0,0,3.01438e-013
0,5,12.5492,2.39479e+007,11028.7,1.22579e-009,12.7428
0,5,662.522,1.22973e+008,670666,42.4292,21105.9
0,6,397.909,5.66299e+006,0,0,0
0,6,4361.31,3.42626e+006,0,0,0
0,6,29098.3,4.94816e+008,0,0,0
0,6,14255.9,1.48465e+008,0,0,0
0,6,1624.31,2.52401e+007,0,0,0
0,6,1759.23,4.34599e+008,0,0,0
0,6,230.921,1.69285e+008,0,0,0
0,6,1722.42,9.70924e+008,0,0,0
0,6,397.957,2.77688e+007,0,0,0
0,6,238.148,4.20416e+006,0,0,0
0,6,1734.54,2.65289e+008,0,0,0
0,6,420.485,1.85824e+006,0,0,0
0,6,238.148,1.43168e+006,0,0,0
0,6,1608.51,7.52973e+007,0,0,0
0,6,4156.31,1.20924e+007,0,0,0
0,7,5584.63,0,5.22508e+006,6.48105e+007,1.71726e+007
0,7,1009.7,0,87923.1,1.43478e+006,4.52897e+006
0,7,1628.91,0,1.94007e+008,8.30566e+008,9.5618e+008
0,7,14221.9,0,6.82739e+006,3.40065e+008,5.28217e+007
0,7,154.985,0,354336,99728.5,472343
0,7,178.317,0,1.76705e+007,551.434,256163
0,7,6055.03,0,1.85929e+008,3.34959e+009,3.10418e+009
0,7,14928.5,0,2.2553e+007,4.84414e+008,1.19648e+008
0,7,364.275,0,1.80275e+008,2.17577e+008,1.43787e+008
0,7,15905,0,1.33411e+007,1.09747e+008,2.19013e+008
0,7,5584.63,0,9.07007e+006,1.14391e+007,4.29509e+006
0,7,154.985,0,13519.2,3.7067e-009,7.42396e-007
0,7,1055.68,0,291126,403371,54649
0,7,395.725,0,1.404e+006,1.65048e+006,1.12594e+006
0,7,1613.87,0,3.55414e+008,2.56099e+008,6.04774e+007
0,7,974.299,0,885106,5287.35,499712
0,7,386.833,0,5.70218e+006,4.32191e-007,16772.1
0,8,10676.2,3.9039e+007,2.64945e+006,1.25998e+008,1.61989e+007
0,8,228.681,627657,231.902,440.214,171.956
0,8,5733.15,270492,44339.5,483908,104096
0,8,644.023,3.0736e+008,335816,2.55893e+006,1.05409e+007
0,8,106.959,1.29544e+008,21521.9,4039.42,30628.7
0,8,5707.62,2.29578e+006,617.259,672.307,630.923
0,8,228.681,8.44837e+006,42710.7,0.850168,526.588
0,8,98.644,5.84974e+007,303188,32.5422,11043.2
1,0,110692,4.14329e+009,0,0,0
1,0,304.756,9.47662e+007,0,0,0
1,0,125.154,7.57975e+010,0,0,0
1,0,214.145,3.87248e+006,0,0,0
1,0,15325,1.07338e+010,0,0,0
1,0,250.676,2.33785e+006,0,0,0
1,0,304.167,1.73882e+009,0,0,0
1,0,261.299,5.47438e+006,0,0,0
1,0,134.389,3.66879e+011,0,0,0
1,0,304.756,2.8829e+008,0,0,0
1,0,122.923,2.27182e+010,0,0,0
1,0,846053,3.26689e+009,0,0,0
1,2,6765.24,4.88317e+006,362898,4.24028e+007,1.2241e+007
1,2,13065.4,5.0664e+008,1.20459e+006,4.42326e+007,7304.48
1,2,16445.2,4.07685e+007,269405,1.68186e+006,1140.77
1,2,31625.1,2.68141e+008,2.87067e+006,3.48345e+006,20401.4
1,2,16445.2,2.12001e+008,1.16617e+007,1.01416e+009,3.88066e+008
1,2,1360.15,2.09111e+006,7.86331e+006,8.51857e+008,1.65486e+008
1,2,2318.13,8.71937e+007,3.64967e+007,3.68675e+009,1.32449e+009
1,2,327.224,2.63521e+008,5.45625e+010,2.01901e+010,6.66454e+010
1,2,1323.96,1.28858e+007,4.59419e+007,9.99082e+009,1.08625e+009
1,2,1330.72,24542.6,9.95448e+006,1.73899e+006,2.30702e+008
1,2,3773.68,72964.4,2.06427e+007,2.47925e+007,3.31809e+008
1,2,305.769,8.62848e+010,1.87226e+010,7.3042e+010,6.01939e+011
1,2,1198.61,2.63113e+007,5.57914e+009,1.02974e+010,2.8008e+010
1,2,16445.2,450037,2.94179e+006,3.64475e+008,3.71431e+007
1,2,33851.5,9.00598e+006,7.43829e+006,1.20034e+009,4.37184e+008
1,2,360.016,1.45173e+010,916.989,1583.47,397.907
1,2,1329.87,9.48083e+008,463327,7.50741e+008,2.11367e+008
1,2,1264.87,4.99393e+007,1.88649e+009,2.21582e+008,3.89905e+009
1,2,2155.03,2.15117e+007,9.99147e+008,1.24213e+009,2.87728e+010
1,3,297.243,5.78028e+008,0,0,0
1,3,205.816,1.04909e+009,0,0,0
1,3,15.4816,3.3753e+009,0,0,0
1,3,41.6147,1.15648e+011,0,0,0
1,3,16.4708,2.57037e+008,0,0,0
1,3,3.53284,1395.76,0,0,0
1,4,135.895,0,2.77859e+007,7.25961e+006,7.15617e+008
1,4,22.4914,0,1.23279e+009,1.64482e+009,5.30903e+007
1,4,22.2248,0,3.0551e-005,725.367,135.963
1,4,423.539,0,207824,132270,3.6505e+006
1,4,29.9273,0,0.00033157,0,0
1,4,74.9302,0,4.63657e+006,8.76708e+006,266109
1,4,744.084,0,4.858e+007,5.97968e+007,6.42445e+008
1,5,676.497,806445,2.10903e+007,6.91472e+008,6.13707e+007
1,5,7.70364,9.92973e+009,617.211,5.23667e+007,3.15773e+007
1,5,113.598,12085.7,18994.8,4244.19,26193
