GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,455902,3.12044e+009,0,0,0
0,0,36593,3.07722e+008,0,0,0
0,0,11184.4,2.15412e+008,0,0,0
0,0,348711,8.26842e+008,0,0,0
0,0,1504.98,3.84666e+007,0,0,0
0,0,44.6019,5.45794e+009,0,0,0
0,0,2594.96,1.27235e+011,0,0,0
0,0,453.483,4.12626e+009,0,0,0
0,0,1493.45,1.67597e+008,0,0,0
0,0,442.04,3.61816e+006,0,0,0
0,0,127550,2.30108e+009,0,0,0
0,0,846053,3.03591e+009,0,0,0
0,0,12009.9,5.11348e+010,0,0,0
0,0,36522.3,1.78359e+009,0,0,0
0,0,88.5804,2.1952e+007,0,0,0
0,0,42.1353,1.95487e+010,0,0,0
0,0,43.909,0,0,0,0
0,0,1501.74,0,0,0,0
0,1,24805.7,0,4.95967e+007,3.79372e+006,1.80049e+009
0,1,25836.5,0,8.14097e+009,6.62626e+009,2.93002e+009
0,1,25369.9,0,7.82461e+010,4.71097e+010,4.38104e+009
0,1,24753.2,0,0,0,0
0,2,13521.7,8.84189e+007,1.47784e+008,1.05829e+008,2.94145e+007
0,2,7011.96,1.44788e+008,2.67704e+008,1.62107e+008,1.31162e+008
0,2,263.68,1.9444e+009,1.73029e+009,7.07767e+009,5.10348e+010
0,2,3413.69,4.17373e+009,2.23904e+009,7.00433e+009,6.09102e+009
0,2,44769.6,1.56006e+009,7.53073e+007,1.8472e+008,1.7587e+008
0,2,13521.7,7.23743e+008,1.6061e+008,4.03714e+008,7.03705e+008
0,2,9069.94,1.28264e+010,9.99063e+007,2.98054e+010,2.22849e+009
0,2,2457.55,5.00177e+010,1.41708e+009,1.61644e+010,6.25511e+009
0,2,531.856,6.07912e+009,1.10471e+009,4.99525e+009,3.41547e+009
0,2,265.655,3.3966e+008,617391,1.4039e+006,178239
0,2,3580.85,6.93463e+009,5.30637e+008,6.99645e+008,1.58681e+009
