Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
24805.7,1,1000,H,Ecto,1894.7
24805.7,1,10000,H,Ecto,6.4671e+008
24805.7,1,10000,H,Endo,8.90747e+007
24805.7,1,100000,H,Endo,4.32341e+007
24805.7,1,1000,O,Ecto,121.709
24805.7,1,10000,O,Ecto,1.22214e+009
24805.7,1,1000,O,Endo,7.67417e+008
24805.7,1,10000,O,Endo,1.1667e+009
24805.7,1,1000,C,Ecto,2.41277e+006
24805.7,1,10000,C,Ecto,2.2147e+007
24805.7,1,10000,C,Endo,7.43672e+009
24805.7,1,100000,C,Endo,1.03096e+007
25836.5,1,1000,H,Ecto,1.92325e+006
25836.5,1,10000,H,Ecto,5.84652e+008
25836.5,1,1000,H,Endo,4.7876e+007
25836.5,1,10000,H,Endo,7.67754e+008
25836.5,1,1000,O,Ecto,2469.47
25836.5,1,10000,O,Ecto,6.87841e+008
25836.5,1,1000,O,Endo,4.55355e+010
25836.5,1,10000,O,Endo,970538
25836.5,1,1000,C,Ecto,2.0358e+009
25836.5,1,10000,C,Ecto,1.64274e+008
25836.5,1,10000,C,Endo,4.18548e+007
8410.46,2,100,H,Ecto,273.882
8410.46,2,1000,H,Ecto,78851.4
8410.46,2,100,H,Endo,0.603689
8410.46,2,1000,H,Endo,3.61008e+008
8410.46,2,10000,H,Endo,1.8539e+007
8410.46,2,100,O,Ecto,200583
8410.46,2,1000,O,Ecto,1.16221e+006
8410.46,2,100,O,Endo,1.6561e+009
8410.46,2,1000,O,Endo,9.24716e+007
8410.46,2,100,C,Ecto,3.42214e+009
8410.46,2,1000,C,Ecto,3.57349e+007
8410.46,2,10000,C,Ecto,8851.21
8410.46,2,10000,C,Endo,126923
13521.7,2,100,H,Ecto,4.14036
13521.7,2,1000,H,Ecto,9987.39
13521.7,2,10000,H,Ecto,115.372
13521.7,2,100,H,Endo,801.436
13521.7,2,1000,H,Endo,8.85445e+006
13521.7,2,10000,H,Endo,7.10347e+006
13521.7,2,100,O,Ecto,4682.04
13521.7,2,1000,O,Ecto,18851.8
13521.7,2,10000,O,Ecto,270.875
13521.7,2,100,O,Endo,1.91843e+008
13521.7,2,1000,O,Endo,3.24173e+007
13521.7,2,100,C,Ecto,9.77584e+006
13521.7,2,1000,C,Ecto,5.58427e+006
13521.7,2,10000,C,Ecto,31531.3
13521.7,2,10000,C,Endo,392886
7011.96,2,100,H,Ecto,3156.57
7011.96,2,1000,H,Ecto,50584.4
7011.96,2,100,H,Endo,3385.46
7011.96,2,1000,H,Endo,1.15293e+008
7011.96,2,10000,H,Endo,2.95532e+006
7011.96,2,100,O,Ecto,152514
7011.96,2,1000,O,Ecto,461865
7011.96,2,100,O,Endo,8.24347e+008
7011.96,2,1000,O,Endo,4.0436e+006
7011.96,2,100,C,Ecto,1.79519e+009
7011.96,2,1000,C,Ecto,1.79389e+007
7011.96,2,10000,C,Ecto,432.104
3461.63,2,10,H,Ecto,354351
3461.63,2,100,H,Ecto,28102.2
3461.63,2,1000,H,Ecto,60279.9
3461.63,2,10,H,Endo,3.36219e+006
3461.63,2,100,H,Endo,74409.3
3461.63,2,1000,H,Endo,889089
3461.63,2,100,O,Ecto,61652.6
3461.63,2,1000,O,Ecto,953.803
3461.63,2,100,O,Endo,1.11874e+009
3461.63,2,1000,O,Endo,1.56711e+006
3461.63,2,10,C,Ecto,3.78563e+008
3461.63,2,100,C,Ecto,2.56621e+009
3461.63,2,1000,C,Ecto,2.56695e+006
263.68,2,10,H,Ecto,2.34086e-011
263.68,2,100,H,Ecto,119.059
263.68,2,10,H,Endo,3.10392e+007
263.68,2,1,O,Ecto,1.92937e+006
263.68,2,10,O,Ecto,1.26123e+010
263.68,2,100,O,Ecto,9.31458e+006
263.68,2,10,C,Ecto,3.18185e+009
263.68,2,100,C,Ecto,0.167499
3413.69,2,10,H,Ecto,406093
3413.69,2,100,H,Ecto,13082.4
3413.69,2,1000,H,Ecto,238.367
3413.69,2,10,H,Endo,6.14019e+006
3413.69,2,100,H,Endo,4743.5
3413.69,2,1000,H,Endo,9314.25
3413.69,2,100,O,Ecto,154384
3413.69,2,100,O,Endo,4.73255e+008
3413.69,2,1000,O,Endo,276.185
3413.69,2,10,C,Ecto,5.2765e+009
3413.69,2,100,C,Ecto,9354.45
3413.69,2,1000,C,Ecto,3792.06
2236.7,2,10,H,Ecto,133837
2236.7,2,100,H,Ecto,227.461
2236.7,2,1000,H,Ecto,1.59951
2236.7,2,10,H,Endo,106587
2236.7,2,100,H,Endo,30.0914
2236.7,2,1000,H,Endo,575.877
2236.7,2,10,O,Ecto,1.42528e+008
2236.7,2,100,O,Ecto,110698
2236.7,2,100,O,Endo,1.8426e+007
2236.7,2,1000,O,Endo,0.22902
2236.7,2,10,C,Ecto,4.46608e+009
2236.7,2,100,C,Ecto,37438
510.16,2,10,H,Ecto,7.98493e+006
510.16,2,100,H,Ecto,20747.8
510.16,2,1000,H,Ecto,9.861
510.16,2,10,H,Endo,1.28922e+006
510.16,2,100,H,Endo,978.978
510.16,2,1000,H,Endo,14135.7
510.16,2,10,O,Ecto,3.47173e+010
510.16,2,100,O,Ecto,2.0594e+007
510.16,2,100,O,Endo,1.50766e+009
510.16,2,1000,O,Endo,384.695
510.16,2,10,C,Ecto,1.15135e+011
