GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,455902,3.31343e+009,0,0,0
0,0,36593,2.57781e+008,0,0,0
0,0,11184.4,1.65757e+008,0,0,0
0,0,348711,8.65648e+008,0,0,0
0,0,1504.98,1.3493e+007,0,0,0
0,0,44.6019,1.06402e+009,0,0,0
0,0,2594.96,4.49996e+010,0,0,0
0,0,453.483,6.22984e+009,0,0,0
0,0,1493.45,1.36344e+010,0,0,0
0,0,442.04,6.61901e+006,0,0,0
0,0,127550,2.45166e+009,0,0,0
0,0,12009.9,5.32144e+010,0,0,0
0,0,36522.3,1.82192e+009,0,0,0
0,0,88.5804,5.10682e+006,0,0,0
0,0,42.1353,7.86837e+007,0,0,0
0,0,43.909,1.63598e+010,0,0,0
0,0,1501.74,2.29615e+009,0,0,0
0,1,24805.7,0,2.18098e+006,781815,3.88479e+008
0,1,25836.5,0,9.74025e+007,3.06243e+007,5.46274e+010
0,1,25369.9,0,9.01084e+010,3.94352e+010,4.00496e+010
0,1,24753.2,0,5.95864e+008,2.45809e+009,2.90374e+008
0,2,13521.7,7.69547e+007,1.44814e+007,1.95272e+008,1.17711e+007
0,2,7011.96,1.08929e+008,1.74996e+007,2.72893e+008,3.78383e+007
0,2,263.68,1.55377e+010,5.26098e+008,3.47077e+009,5.59847e+009
0,2,3413.69,2.06436e+009,1.27268e+008,7.92941e+008,3.50051e+009
0,2,44769.6,1.29094e+009,3.6866e+007,2.67717e+008,3.39349e+008
0,2,13521.7,4.93508e+008,3.41937e+007,5.42333e+008,1.58748e+009
0,2,9069.94,8.86846e+009,1.46554e+008,7.48869e+008,2.46631e+009
0,2,2457.55,8.68052e+010,6.14227e+008,8.00993e+009,2.38927e+010
0,2,531.856,1.15778e+010,4.23781e+006,7.86859e+006,3.35305e+006
0,2,265.655,4.52409e+008,479213,5374.78,284469
0,2,3580.85,7.06325e+009,4.28082e+007,6.02879e+008,4.61738e+009
0,2,13521.7,1.57571e+008,3.35726e+006,5.24051e+007,6.03469e+008
0,2,7011.96,2.79502e+009,3.7795e+007,5.24721e+008,2.70919e+009
0,2,8547.5,5.79893e+009,3.08896e+007,2.31689e+008,2.97685e+008
0,2,3413.69,9.18114e+009,2.60594e+007,1.47721e+008,5.32253e+007
0,2,268.573,1.9121e+009,267281,3.16282e-008,0.0205554
0,2,7011.96,3.76517e+008,766085,2.12284e+006,3.10261e+006
0,3,246.996,1.25029e+008,0,0,0
0,3,110.696,9.11362e+008,0,0,0
0,3,36.8055,9.52539e+007,0,0,0
0,3,62.7695,1.33003e+009,0,0,0
0,3,3.118,1.11235e+007,0,0,0
0,3,2.8038,1.78764e+008,0,0,0
0,3,381.107,2.89634e+008,0,0,0
0,4,798.043,0,1.77805e+009,6.18125e+009,1.25359e+010
0,4,111.161,0,1.02699e+007,8.6186e+006,1.18244e+007
0,4,79.2197,0,0,0,0
0,4,2001,0,7.88725e+008,2.75238e+009,1.20281e+010
0,4,13.8591,0,0,4.01561e-014,0
0,4,720.999,0,1.98185e+006,3.67746e+006,1.62466e+006
0,4,447.827,0,2.59728e+006,18.1955,31346.1
0,5,1230.76,5.48896e+008,1.31953e+007,1.33427e+008,6.4669e+008
0,5,212.924,1.47451e+009,6.22276e+007,7.12303e+008,9.39527e+008
0,5,212.48,4516.93,2.97483,27.0642,6.76917
0,5,2.21696,47.8306,0,0,0
0,5,12.5492,5.77847e+008,13497.2,4.04493e-010,0.000256334
0,5,662.522,5.10262e+008,1.03543e+006,4.63187e-008,17510
0,6,397.909,1.29332e+007,0,0,0
0,6,4361.31,5.01829e+006,0,0,0
0,6,29098.3,5.89843e+008,0,0,0
0,6,14255.9,1.72321e+008,0,0,0
0,6,1624.31,4.04726e+007,0,0,0
0,6,1759.23,5.03536e+008,0,0,0
0,6,230.921,2.04512e+008,0,0,0
0,6,1722.42,9.76264e+008,0,0,0
0,6,397.957,2.51881e+007,0,0,0
0,6,238.148,5.05106e+006,0,0,0
0,6,1734.54,2.51319e+008,0,0,0
0,6,420.485,1.64569e+006,0,0,0
0,6,238.148,1.11657e+006,0,0,0
0,6,1608.51,7.43692e+007,0,0,0
0,6,4156.31,1.13037e+007,0,0,0
0,7,5584.63,0,1.0455e+007,8.36967e+007,3.88381e+007
0,7,1009.7,0,200461,2.49256e+006,8.36747e+006
0,7,1628.91,0,1.32094e+008,1.04556e+009,1.3549e+010
0,7,14221.9,0,1.08779e+008,2.76989e+008,5.31446e+007
0,7,154.985,0,3.40522e+007,9.07664e+007,7.67548e+007
0,7,178.317,0,2.49207e+007,569725,4.63409e+006
