Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
24805.7,1,1000,H,Ecto,0.556319
24805.7,1,10000,H,Ecto,2.15464e+006
24805.7,1,10000,H,Endo,19538.2
24805.7,1,100000,H,Endo,6802.75
24805.7,1,1000,O,Ecto,0.107573
24805.7,1,10000,O,Ecto,60497.3
24805.7,1,1000,O,Endo,14119.1
24805.7,1,10000,O,Endo,707198
24805.7,1,1000,C,Ecto,327.827
24805.7,1,10000,C,Ecto,101813
24805.7,1,10000,C,Endo,3.88377e+008
25836.5,1,1000,H,Ecto,93689.4
25836.5,1,10000,H,Ecto,3.43782e+006
25836.5,1,1000,H,Endo,7.81413e+007
25836.5,1,10000,H,Endo,1.57297e+007
25836.5,1,1000,O,Ecto,31.7589
25836.5,1,10000,O,Ecto,1.57445e+006
25836.5,1,1000,O,Endo,1.57753e+007
25836.5,1,10000,O,Endo,1.32745e+007
25836.5,1,1000,C,Ecto,929112
25836.5,1,10000,C,Ecto,4.24147e+006
25836.5,1,10000,C,Endo,5.46223e+010
25369.9,1,1000,H,Ecto,1.63245e+008
25369.9,1,10000,H,Ecto,2.22292e+006
25369.9,1,1000,H,Endo,3.51571e+010
25369.9,1,10000,H,Endo,5.47858e+010
25369.9,1,1000,O,Ecto,1.82911e+008
25369.9,1,10000,O,Ecto,3.28726e+006
25369.9,1,1000,O,Endo,3.90969e+010
25369.9,1,10000,O,Endo,1.52131e+008
25369.9,1,1000,C,Ecto,3.30496e+010
25369.9,1,10000,C,Ecto,7.845e+007
25369.9,1,10000,C,Endo,6.92155e+009
24753.2,1,100,H,Ecto,15.9624
24753.2,1,1000,H,Ecto,3.14866e+006
24753.2,1,10000,H,Ecto,13.3636
24753.2,1,100,H,Endo,1.20225e+006
24753.2,1,1000,H,Endo,5.70867e+008
24753.2,1,10000,H,Endo,2.06455e+007
24753.2,1,100,O,Ecto,573905
24753.2,1,1000,O,Ecto,5.23616e+006
24753.2,1,10000,O,Ecto,27.9057
24753.2,1,1000,O,Endo,2.45221e+009
24753.2,1,10000,O,Endo,73157.2
24753.2,1,100,C,Ecto,1.12464e+008
24753.2,1,1000,C,Ecto,1.27542e+008
24753.2,1,10000,C,Ecto,85629.4
24753.2,1,10000,C,Endo,5.02823e+007
13521.7,2,100,H,Ecto,156.352
13521.7,2,1000,H,Ecto,102998
13521.7,2,100,H,Endo,83895.3
13521.7,2,1000,H,Endo,1.3978e+007
13521.7,2,10000,H,Endo,316390
13521.7,2,100,O,Ecto,26732.8
13521.7,2,1000,O,Ecto,114906
13521.7,2,100,O,Endo,162215
13521.7,2,1000,O,Endo,1.94968e+008
13521.7,2,10000,O,Endo,703.512
13521.7,2,100,C,Ecto,6.48265e+006
13521.7,2,1000,C,Ecto,5.1258e+006
13521.7,2,10000,C,Ecto,719.148
13521.7,2,10000,C,Endo,161961
7011.96,2,100,H,Ecto,2110.81
7011.96,2,1000,H,Ecto,237518
7011.96,2,100,H,Endo,388687
7011.96,2,1000,H,Endo,1.66913e+007
7011.96,2,10000,H,Endo,179937
7011.96,2,100,O,Ecto,135016
7011.96,2,1000,O,Ecto,105637
7011.96,2,100,O,Endo,1.90447e+006
7011.96,2,1000,O,Endo,2.70747e+008
7011.96,2,10000,O,Endo,215.988
7011.96,2,100,C,Ecto,2.46882e+007
7011.96,2,1000,C,Ecto,1.31498e+007
7011.96,2,10000,C,Ecto,179.646
7011.96,2,10000,C,Endo,53.1134
263.68,2,1,H,Ecto,172.724
263.68,2,10,H,Ecto,4.89505e+008
263.68,2,100,H,Ecto,2.24352e+006
263.68,2,1000,H,Ecto,17586
263.68,2,10,H,Endo,2.07226e+007
263.68,2,100,H,Endo,0.135426
263.68,2,1000,H,Endo,1.36095e+007
263.68,2,10,O,Ecto,9.68317e+008
263.68,2,100,O,Ecto,3.13365e+008
263.68,2,100,O,Endo,2.186e+009
263.68,2,1000,O,Endo,3.08256e+006
263.68,2,100,C,Ecto,5.59847e+009
263.68,2,1000,C,Ecto,74.8561
3413.69,2,100,H,Ecto,1.67675e+006
3413.69,2,1000,H,Ecto,1.92035e+006
3413.69,2,100,H,Endo,8.26136e+006
3413.69,2,1000,H,Endo,1.15392e+008
3413.69,2,10000,H,Endo,17625.6
3413.69,2,100,O,Ecto,4.64425e+007
3413.69,2,1000,O,Ecto,35432.9
3413.69,2,100,O,Endo,4.70099e+008
3413.69,2,1000,O,Endo,2.76364e+008
3413.69,2,100,C,Ecto,1.52147e+009
3413.69,2,1000,C,Ecto,1.97905e+009
44769.6,2,1000,H,Ecto,273349
44769.6,2,10000,H,Ecto,420.816
44769.6,2,1000,H,Endo,3.28735e+007
44769.6,2,10000,H,Endo,3.71863e+006
44769.6,2,100,O,Ecto,7749.17
44769.6,2,1000,O,Ecto,403090
44769.6,2,10000,O,Ecto,718.219
44769.6,2,1000,O,Endo,2.67229e+008
44769.6,2,10000,O,Endo,76638.4
44769.6,2,100,C,Ecto,1.31045e+006
44769.6,2,1000,C,Ecto,9.90655e+006
44769.6,2,10000,C,Ecto,68198.7
44769.6,2,10000,C,Endo,3.28064e+008
13521.7,2,100,H,Ecto,158746
13521.7,2,1000,H,Ecto,519894
13521.7,2,100,H,Endo,2.03596e+006
13521.7,2,1000,H,Endo,3.01033e+007
13521.7,2,10000,H,Endo,1.37584e+006
13521.7,2,100,O,Ecto,7.74454e+006
13521.7,2,1000,O,Ecto,34746.4
13521.7,2,100,O,Endo,4.77229e+007
13521.7,2,1000,O,Endo,4.86831e+008
13521.7,2,10000,O,Endo,8.21691
13521.7,2,100,C,Ecto,7.06002e+008
13521.7,2,1000,C,Ecto,8.81479e+008
13521.7,2,10000,C,Ecto,4.1432
13521.7,2,10000,C,Endo,630.592
9069.94,2,10,H,Ecto,4022.81
9069.94,2,100,H,Ecto,8.97685e+006
9069.94,2,1000,H,Ecto,2.85201e+006
9069.94,2,10,H,Endo,35361.4
9069.94,2,100,H,Endo,5.76016e+006
9069.94,2,1000,H,Endo,1.28926e+008
9069.94,2,10,O,Ecto,2357.2
9069.94,2,100,O,Ecto,1.54316e+008
9069.94,2,1000,O,Ecto,2335.35
9069.94,2,100,O,Endo,4.21114e+008
9069.94,2,1000,O,Endo,1.73434e+008
9069.94,2,100,C,Ecto,9.69742e+008
9069.94,2,1000,C,Ecto,1.49657e+009
2457.55,2,10,H,Ecto,2.0175e+007
2457.55,2,100,H,Ecto,2.13591e+008
2457.55,2,1000,H,Ecto,4.89422e+006
2457.55,2,10,H,Endo,3.10058e+007
2457.55,2,100,H,Endo,432353
2457.55,2,1000,H,Endo,3.44129e+008
2457.55,2,10,O,Ecto,1.73252e+008
2457.55,2,100,O,Ecto,8.88967e+008
2457.55,2,1000,O,Ecto,3.21475
2457.55,2,100,O,Endo,8.29631e+008
2457.55,2,1000,O,Endo,6.11807e+009
2457.55,2,100,C,Ecto,1.71716e+010
2457.55,2,1000,C,Ecto,6.72111e+009
531.856,2,10,H,Ecto,2.7566e+006
531.856,2,100,H,Ecto,108539
531.856,2,1000,H,Ecto,3423.15
531.856,2,10,H,Endo,1.31402e+006
531.856,2,1000,H,Endo,55227.2
531.856,2,10,O,Ecto,1.15729e+006
531.856,2,100,O,Ecto,3.1859e+006
531.856,2,100,O,Endo,3.48499e+006
531.856,2,1000,O,Endo,40399.4
531.856,2,100,C,Ecto,3.35294e+006
531.856,2,1000,C,Ecto,109.878
265.655,2,1,H,Ecto,475216
265.655,2,10,H,Ecto,2087
265.655,2,100,H,Ecto,0.00818658
265.655,2,10,H,Endo,1910.13
265.655,2,1,O,Ecto,3.84835e-008
265.655,2,10,O,Ecto,2397.63
265.655,2,100,O,Ecto,1054.88
265.655,2,100,O,Endo,1922.27
265.655,2,10,C,Ecto,0.00249111
265.655,2,100,C,Ecto,284469
3580.85,2,10,H,Ecto,1.00154e+007
3580.85,2,100,H,Ecto,1.07232e+007
3580.85,2,1000,H,Ecto,252532
3580.85,2,10,H,Endo,3.58494e+006
3580.85,2,100,H,Endo,21.0196
3580.85,2,1000,H,Endo,1.82321e+007
3580.85,2,10,O,Ecto,1.09537e+007
3580.85,2,100,O,Ecto,3.72538e+007
3580.85,2,1000,O,Ecto,0.224724
3580.85,2,100,O,Endo,1.48449e+007
3580.85,2,1000,O,Endo,5.39827e+008
3580.85,2,100,C,Ecto,4.51042e+009
3580.85,2,1000,C,Ecto,1.0696e+008
13521.7,2,10,H,Ecto,3599.79
13521.7,2,100,H,Ecto,536697
13521.7,2,1000,H,Ecto,22240.1
13521.7,2,10,H,Endo,18772.5
13521.7,2,100,H,Endo,10557.2
13521.7,2,1000,H,Endo,2.7654e+006
13521.7,2,100,O,Ecto,3.84837e+006
13521.7,2,1000,O,Ecto,0.277387
13521.7,2,100,O,Endo,8.72898e+006
13521.7,2,1000,O,Endo,3.98278e+007
13521.7,2,100,C,Ecto,5.44142e+008
13521.7,2,1000,C,Ecto,5.93275e+007
7011.96,2,10,H,Ecto,236972
