Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
24805.7,1,1000,H,Ecto,0.00982413
24805.7,1,10000,H,Ecto,40517.7
24805.7,1,10000,H,Endo,949.541
24805.7,1,100000,H,Endo,101.921
24805.7,1,1000,O,Ecto,0.00195213
24805.7,1,10000,O,Ecto,684.332
24805.7,1,1000,O,Endo,4.05057
24805.7,1,10000,O,Endo,14910
24805.7,1,1000,C,Ecto,36.4545
24805.7,1,10000,C,Ecto,3278.92
24805.7,1,10000,C,Endo,3.45338e+006
25836.5,1,10000,H,Ecto,7.21516e+008
25836.5,1,10000,H,Endo,6.43565e+006
25836.5,1,100000,H,Endo,2.10372e+006
25836.5,1,1000,O,Ecto,20.9719
25836.5,1,10000,O,Ecto,8.26374e+006
25836.5,1,1000,O,Endo,45015.1
25836.5,1,10000,O,Endo,2.55144e+008
25836.5,1,1000,C,Ecto,390543
25836.5,1,10000,C,Ecto,3.68488e+007
25836.5,1,10000,C,Endo,1.66005e+010
25369.9,1,1000,H,Ecto,4.03025e+007
25369.9,1,10000,H,Ecto,2.32905e+008
25369.9,1,1000,H,Endo,7.01077e+009
25369.9,1,10000,H,Endo,1.96253e+009
25369.9,1,1000,O,Ecto,5697.6
25369.9,1,10000,O,Ecto,1.5004e+008
25369.9,1,1000,O,Endo,2.02621e+009
25369.9,1,10000,O,Endo,5.52558e+008
25369.9,1,1000,C,Ecto,8.39879e+009
25369.9,1,10000,C,Ecto,5.33675e+008
25369.9,1,10000,C,Endo,1.35672e+010
13521.7,2,100,H,Ecto,52.6233
13521.7,2,1000,H,Ecto,165610
13521.7,2,100,H,Endo,43496.8
13521.7,2,1000,H,Endo,5.38985e+006
13521.7,2,10000,H,Endo,345.545
13521.7,2,100,O,Ecto,11299.9
13521.7,2,1000,O,Ecto,47626.1
13521.7,2,100,O,Endo,199415
13521.7,2,1000,O,Endo,1.45332e+008
13521.7,2,10000,O,Endo,29.4178
13521.7,2,100,C,Ecto,7.9599e+006
13521.7,2,1000,C,Ecto,3.55668e+006
13521.7,2,10000,C,Ecto,10.2751
13521.7,2,10000,C,Endo,5376.88
7011.96,2,100,H,Ecto,286.402
7011.96,2,1000,H,Ecto,92774.7
7011.96,2,100,H,Endo,109236
7011.96,2,1000,H,Endo,2.46824e+006
7011.96,2,10000,H,Endo,26.3351
7011.96,2,100,O,Ecto,14686.1
7011.96,2,1000,O,Ecto,25765.3
7011.96,2,100,O,Endo,393191
7011.96,2,1000,O,Endo,6.98816e+007
7011.96,2,10000,O,Endo,6.54077
7011.96,2,100,C,Ecto,1.03488e+007
7011.96,2,1000,C,Ecto,1.32222e+006
7011.96,2,10000,C,Ecto,0.442909
263.68,2,1,H,Ecto,40.2083
263.68,2,10,H,Ecto,51829.5
263.68,2,100,H,Ecto,805.308
