Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,7.51195e+009,1.74165e+010,1.48731e+010,1.69883e+009,5.18148e+009,4.30621e+009,6.28249e+009,9.12479e+009,8.37481e+009
2, 1,4.46119e+009,1.88573e+010,1.3435e+010,9.76002e+008,7.40734e+008,4.7543e+008,3.16622e+009,5.72513e+009,4.28159e+009
3, 1,4.26487e+009,1.59389e+010,8.87438e+009,1.54935e+009,1.23589e+008,3.05166e+008,1.82801e+009,4.05898e+009,2.00949e+009
4, 1,4.45872e+009,1.28577e+010,6.18457e+009,2.28183e+009,2.15783e+007,3.07768e+008,1.41057e+009,2.86143e+009,1.5227e+009
5, 1,4.56558e+009,8.80552e+009,5.45926e+009,2.52873e+009,7.75842e+006,4.64992e+008,1.43663e+009,2.52242e+009,1.40605e+009
6, 1,4.7584e+009,7.12788e+009,4.93966e+009,3.8331e+009,8.70612e+006,1.42947e+009,1.58378e+009,2.45813e+009,1.30253e+009
7, 1,4.4404e+009,6.26703e+009,4.38005e+009,3.31647e+009,1.76877e+007,3.35371e+009,1.59278e+009,2.31751e+009,1.25663e+009
8, 1,4.02933e+009,6.20362e+009,3.38822e+009,3.0045e+009,4.07106e+007,4.10239e+009,1.56624e+009,1.94775e+009,1.12478e+009
9, 1,3.23958e+009,6.0894e+009,2.86744e+009,4.53216e+009,6.88653e+007,3.82328e+009,1.42592e+009,1.54947e+009,1.03077e+009
10, 1,2.75402e+009,5.19321e+009,2.35029e+009,5.43567e+009,9.17233e+007,4.30089e+009,1.35638e+009,1.27995e+009,9.69456e+008
11, 1,2.59442e+009,4.52065e+009,2.06332e+009,7.75726e+009,1.37275e+008,4.9558e+009,1.37456e+009,9.39844e+008,8.85646e+008
12, 1,2.46044e+009,3.61892e+009,1.82897e+009,1.09281e+010,3.94405e+008,5.34723e+009,1.56755e+009,8.44983e+008,8.41079e+008
13, 2,2.47789e+009,3.00272e+009,1.67268e+009,1.51031e+010,8.92039e+008,5.92981e+009,1.91067e+009,8.58034e+008,8.28158e+008
14, 2,2.65131e+009,2.22034e+009,1.72207e+009,1.96238e+010,1.5526e+009,7.42679e+009,2.45577e+009,8.67295e+008,8.34439e+008
15, 2,3.23553e+009,1.54933e+009,1.79043e+009,2.1226e+010,2.14005e+009,9.4241e+009,3.13986e+009,9.47928e+008,8.42492e+008
16, 2,3.69954e+009,1.28469e+009,1.87576e+009,2.54399e+010,2.97105e+009,8.98489e+009,3.60523e+009,1.15084e+009,8.58218e+008
17, 2,4.13297e+009,1.34053e+009,2.20336e+009,2.84681e+010,5.15873e+009,7.95006e+009,3.89618e+009,1.51167e+009,9.23174e+008
18, 2,4.9622e+009,1.46273e+009,3.17073e+009,2.09619e+010,8.83854e+009,8.66026e+009,2.37831e+009,2.65485e+009,1.28159e+009
19, 2,5.47728e+009,1.5855e+009,4.69195e+009,1.88159e+010,6.56948e+009,6.70122e+009,5.7722e+008,3.83763e+009,1.68428e+009
20, 2,5.12851e+009,1.59386e+009,4.65583e+009,1.58636e+010,3.06729e+009,5.23666e+009,5.63747e+008,3.80164e+009,2.00651e+009
21, 2,5.3837e+009,1.48543e+009,4.30978e+009,1.36065e+010,3.70808e+009,5.59462e+009,5.82967e+008,2.8674e+009,1.48519e+009
22, 2,5.17751e+009,1.63094e+009,4.34209e+009,1.11999e+010,3.89953e+009,4.90799e+009,5.06413e+008,2.27514e+009,8.19462e+008
23, 2,4.82822e+009,1.91267e+009,4.3524e+009,1.10352e+010,3.48523e+009,3.64281e+009,5.56497e+008,2.06972e+009,7.09267e+008
