GC,FG,Biomass,
0,0,1.25861e+011,
0,1,1.6622e+011,
0,2,2.62307e+011,
0,3,1.13404e+012,
0,4,1.04432e+011,
0,5,1.86282e+011,
0,6,8.3265e+009,
0,7,4.8462e+010,
0,8,1.06667e+010,
1,0,3.16738e+011,
1,1,2.08738e+008,
1,2,2.77865e+011,
1,3,1.78627e+012,
1,4,4.99187e+011,
1,5,3.02492e+011,
1,6,5.28243e+009,
1,7,1.02372e+011,
1,8,1.24024e+011,
2,0,3.90632e+011,
2,1,1.22857e+011,
2,2,3.43955e+010,
2,3,4.36511e+009,
2,4,4.70197e+007,
2,5,3.72006e+008,
2,6,9.60025e+009,
2,7,4.619e+010,
2,8,1.17548e+010,
3,0,1.85798e+011,
3,1,2.42478e+011,
3,2,1.88113e+011,
3,3,4.11061e+011,
3,4,8.12118e+010,
3,5,9.80566e+010,
3,6,7.3218e+010,
3,7,2.43761e+010,
3,8,5.44301e+010,
4,0,1.56389e+011,
4,1,2.95712e+011,
4,2,1.09014e+011,
4,3,1.53364e+012,
4,4,1.29542e+009,
4,5,2.65526e+008,
4,6,4.97923e+010,
4,7,1.61947e+011,
4,8,4.22231e+010,
5,0,4.06194e+011,
5,1,1.65016e+011,
5,2,8.35129e+010,
5,3,2.05059e+012,
5,4,2.58938e+011,
5,5,4.43026e+011,
5,6,6.27573e+010,
5,7,1.38594e+011,
5,8,4.91743e+010,
6,0,2.42674e+011,
6,1,6.63385e+010,
6,2,3.08989e+010,
6,3,1.30617e+011,
6,4,6.14074e+010,
6,5,1.95716e+011,
6,6,5.33583e+009,
6,7,1.79572e+010,
6,8,1.40964e+010,
7,0,2.74411e+011,
7,1,1.47553e+008,
7,2,1.21318e+011,
7,3,2.08767e+011,
7,4,2.33315e+011,
7,5,7.20443e+010,
7,6,1.38225e+010,
7,7,1.84366e+011,
7,8,6.39218e+010,
8,0,2.42526e+011,
8,1,1.45294e+011,
8,2,1.65861e+011,
8,3,5.01228e+011,
8,4,7.32804e+011,
8,5,6.45959e+011,
8,6,9.61548e+009,
8,7,5.07025e+010,
8,8,3.12258e+010,
9,0,2.30885e+011,
9,1,4.85516e+010,
9,2,1.41142e+011,
9,3,2.87689e+012,
9,4,1.312e+011,
9,5,1.05814e+012,
9,6,2.56962e+010,
9,7,6.35262e+010,
9,8,5.04177e+010,
10,0,7.19733e+010,
10,1,1.26909e+011,
10,2,4.60555e+010,
10,3,3.82954e+011,
10,4,5.07756e+008,
10,5,1.6981e+010,
10,6,3.23856e+010,
10,7,2.83713e+010,
10,8,1.87774e+010,
11,0,3.82129e+011,
11,1,1.22599e+011,
11,2,2.3723e+011,
11,3,5.01995e+011,
11,4,1.04767e+011,
11,5,1.90301e+011,
11,6,5.86413e+010,
11,7,7.17426e+010,
11,8,3.32708e+010,
12,0,4.21008e+011,
12,1,3.70478e+010,
12,2,2.72264e+011,
12,3,6.05721e+009,
12,4,9.45369e+010,
12,5,6.36639e+009,
12,6,1.54505e+011,
12,7,1.47826e+011,
12,8,1.06864e+010,
13,0,3.43018e+011,
13,1,0,
13,2,1.75389e+011,
13,3,1.31362e+012,
13,4,2.26081e+011,
13,5,4.23631e+011,
13,6,2.86043e+010,
13,7,1.16729e+011,
13,8,3.12098e+010,
14,0,3.10843e+011,
14,1,6.35857e+010,
14,2,3.11364e+011,
14,3,1.9149e+011,
14,4,4.09175e+010,
14,5,9.53978e+011,
14,6,3.58152e+009,
14,7,1.74287e+011,
14,8,3.71417e+009,
15,0,9.6707e+010,
15,1,6.64139e+010,
15,2,2.31108e+011,
15,3,1.43271e+012,
15,4,6.43873e+011,
15,5,5.91092e+011,
15,6,1.45121e+010,
15,7,3.10981e+011,
15,8,3.16131e+010,
