GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,28740.8,1.4463e+008,0,0,0
0,0,455902,2.91861e+009,0,0,0
0,0,11184.4,2.8715e+008,0,0,0
0,0,2594.96,3.87734e+008,0,0,0
0,0,48304.6,1.02198e+010,0,0,0
0,0,348711,8.54427e+009,0,0,0
0,0,2467.34,5.12594e+010,0,0,0
0,0,27809.4,5.97109e+008,0,0,0
0,0,56.5436,8.75693e+007,0,0,0
0,0,59.9628,3.72704e+009,0,0,0
0,0,2616.61,1.46673e+009,0,0,0
0,0,11862.6,5.18613e+009,0,0,0
0,0,30919,0,0,0,0
0,0,61.2298,0,0,0,0
0,0,87.1937,1.48785e+009,0,0,0
0,1,64817.9,0,8.22322e+006,54.8589,256708
0,1,26904.1,0,2.94335e+008,4.81756e+007,9.22651e+009
0,1,26904.1,0,3.89057e+009,5.51948e+010,1.61912e+009
0,1,1658.86,0,4.0862e+009,6.04725e+009,1.5739e+010
0,1,1787.35,0,1.31826e+009,9.93798e+009,7.49499e+009
0,1,1959.13,0,21506.4,28.7372,112520
0,1,26134.4,0,0,0,0
0,1,1658.86,0,0,0,0
0,2,2236.7,3.08598e+007,1.83948e+007,5.42443e+007,1.00292e+008
0,2,32087.4,5.78574e+007,14878.9,2.23854e+007,2.61109e+006
0,2,6734.57,1.10091e+009,2.34452e+008,1.35521e+009,2.35422e+009
0,2,2189.44,6.2134e+010,1.73192e+009,2.32708e+010,2.05669e+010
0,2,264.847,3.43064e+010,6.58194e+008,7.57776e+010,3.55856e+010
0,2,259.62,2.69537e+009,113076,315544,320569
0,2,4404.76,1.42151e+010,1.55041e+009,3.31548e+010,1.87996e+010
0,2,919.739,1.55368e+009,758321,3.49239e+006,3.4939e+006
0,2,291.851,5.76167e+010,6.38203e+006,30.6635,0
0,2,530.844,7.58226e+009,1.19228e+008,5.09989e+009,4.94061e+008
0,2,4019.33,5.74221e+008,1.76745e+007,8.40112e+010,4.71968e+009
0,2,6662.06,1.30268e+009,8.86437e+006,5.21893e+009,2.1611e+009
0,2,958.024,2.55212e+007,3418.43,169.068,109237
0,2,2196.66,2.2231e+007,6.76472e+006,2.05633e+009,3.16789e+009
0,2,2217.19,0,0,0,0
0,3,258.275,1.99997e+008,0,0,0
0,3,379.366,1.4852e+008,0,0,0
0,3,59.5976,3.50558e+008,0,0,0
0,3,113.887,2.95411e+007,0,0,0
0,3,3.0459,1.7239e+008,0,0,0
0,3,3.31612,3.18225e+006,0,0,0
0,3,12.9404,4.4128e+006,0,0,0
0,3,11.0993,0,0,0,0
0,4,2001,0,1.02899e+009,1.08211e+009,4.16253e+009
