GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,28740.8,1.70646e+008,0,0,0
0,0,455902,2.71685e+009,0,0,0
0,0,11184.4,3.48846e+008,0,0,0
0,0,2594.96,5.16724e+008,0,0,0
0,0,56.1596,6.27564e+009,0,0,0
0,0,48304.6,2.44043e+008,0,0,0
0,0,348711,8.09954e+009,0,0,0
0,0,2467.34,4.31971e+009,0,0,0
0,0,27809.4,5.26699e+008,0,0,0
0,0,56.5436,3.21464e+009,0,0,0
0,0,59.9628,0,0,0,0
0,0,2616.61,0,0,0,0
0,0,11862.6,0,0,0,0
0,1,64817.9,0,1.16995e+007,108.138,491082
0,1,26904.1,0,3.10851e+009,1.56157e+009,4.08133e+009
0,1,26904.1,0,1.53772e+009,4.5911e+010,5.03872e+009
0,1,40521.4,0,46921.4,558986,249515
0,1,1658.86,0,7.51065e+006,1.63985e+007,483488
0,1,1787.35,0,1.99341e+009,1.7385e+010,5.54892e+009
0,1,1959.13,0,0,0,0
0,2,2236.7,7.21127e+007,1.20892e+006,7.34852e+008,4.27874e+008
0,2,32087.4,5.73684e+007,4.42974e+006,1.34227e+006,6.2723e+006
0,2,6734.57,2.46048e+009,1.94997e+008,5.24052e+010,4.9147e+009
0,2,2189.44,7.16433e+008,8.7804e+009,2.42886e+010,9.21218e+010
0,2,264.847,7.61195e+006,2.53347e+010,1.13741e+010,1.45421e+009
0,2,259.62,2.02227e+007,1.63315e+009,1.76241e+009,2.30309e+009
0,2,4404.76,2.21575e+009,1.10881e+007,1.78624e+009,3.4936e+010
0,2,530.844,3.59249e+008,1.08269e+009,3.45143e+008,4.87079e+010
0,2,2428.45,1.11191e+006,2.32836e+009,1.91245e+009,3.8209e+008
0,2,919.739,39630.4,7.44589e+007,4.74194e+007,8.66351e+007
0,2,264.847,5.1481e+009,3.80114e+008,1.4818e+011,5.61055e+008
0,2,291.851,0,0,0,0
0,2,530.844,0,0,0,0
0,2,4019.33,0,0,0,0
0,2,6662.06,0,0,0,0
0,2,958.024,0,0,0,0
0,2,2196.66,0,0,0,0
0,3,10.6005,1.23942e+011,0,0,0
0,3,258.275,1.47663e+008,0,0,0
0,3,379.366,1.16136e+008,0,0,0
0,3,59.5976,2.43492e+008,0,0,0
0,3,113.887,5.07605e+007,0,0,0
0,3,3.0459,6.92315e+009,0,0,0
0,3,3.31612,0,0,0,0
0,3,12.9404,0,0,0,0
0,4,933.657,0,1.63363e+007,4.2967e+009,3.25333e+009
0,4,2001,0,6.47134e+006,5.1926e+009,1.77154e+009
0,4,463.167,0,3.70369e+009,9.22608e+009,3.51971e+010
0,4,67.8264,0,2.34692e+009,1.51387e+009,4.88786e+009
0,4,715.576,0,2.45787e+006,3.28941e+009,6.04273e+009
0,4,70.6555,0,0,1.0213e+011,1.12969e+008
0,4,10.5781,0,0,3.261e+011,0
0,4,96.3258,0,658010,1.61982e+011,1.74602e+009
0,4,1482.01,0,0,0,0
0,5,664.762,797449,1.78021e+008,2.66698e+008,3.29275e+008
0,5,2.1252,1.24125e+011,0,0,0
0,5,208.265,9.91444e+007,4.79445e+009,2.48604e+009,7.89255e+009
0,5,1128.18,1.02287e+007,3.02217e+008,1.94057e+008,5.23056e+008
0,5,10.3789,3.0556e+010,1.28344e+009,1.80506e+010,5.3279e+009
0,5,10.7494,186372,0,0,0
0,5,15.7982,6.38235e+009,0,0,0
0,6,407.057,1.90426e+006,0,0,0
0,6,4361.31,7.20428e+007,0,0,0
0,6,29098.3,9.65272e+007,0,0,0
0,6,1993.98,3.39871e+007,0,0,0
0,6,14255.9,1.44934e+009,0,0,0
0,6,1759.23,2.71949e+007,0,0,0
0,6,83644,4.43071e+007,0,0,0
0,6,258.866,5.23608e+007,0,0,0
0,6,407.057,1.01765e+008,0,0,0
0,6,412.708,4.10306e+006,0,0,0
0,6,238.148,6.30657e+006,0,0,0
0,6,1797.09,2.3921e+008,0,0,0
0,6,235.422,0,0,0,0
0,6,412.178,0,0,0,0
0,6,1993.98,0,0,0,0
0,7,15897.1,0,9.58483e+006,6.34746e+007,1.78952e+007
0,7,4610.42,0,2.82866e+006,1.55616e+008,5.7118e+007
0,7,1009.7,0,106000,4.47416e+007,2.6029e+007
0,7,1190.17,0,1.65525e+006,2.80782e+009,1.57554e+009
0,7,171.963,0,4.20187e+009,2.18421e+009,6.47138e+009
0,7,376.847,0,1.62601e+010,5.95399e+009,2.64195e+010
0,7,205.405,0,8.07192e+009,1.26273e+009,1.37564e+010
0,7,4271.29,0,385210,1.40034e+008,6.79356e+008
0,7,465.411,0,2059.82,4.42864e+006,1.89049e+006
0,7,465.411,0,3.73925e+006,170805,7.66387e+006
0,7,153.942,0,188546,1.25978e+008,0
0,7,4723.04,0,0,0,0
0,7,487.101,0,0,0,0
0,7,15246.3,0,0,0,0
0,8,10676.2,1.85556e+008,4.57195e+007,1.04393e+009,4.26919e+008
0,8,228.681,1.57707e+006,4.71974e+006,5.9014e+007,2.02312e+007
0,8,5733.15,3.95408e+006,598797,4.87388e+007,8.8697e+006
0,8,1264.17,6.84168e+006,5.00994e+007,3.11364e+008,1.30204e+008
0,8,120.404,905046,1.69395e+009,1.11916e+009,1.04951e+008
0,8,733.112,216798,8.31693e+007,9.19428e+007,8.88731e+007
0,8,234.961,964138,4.66559e+008,1.06587e+010,1.21101e+009
0,8,202.487,1.75683e+006,224229,2.75635e+008,2.52614e+006
0,8,21358.3,2.81764e+007,6.46885e+006,1.96518e+008,5.40349e+007
0,8,228.681,0,0,0,0
1,0,123491,1.45167e+009,0,0,0
1,0,2.70317e+006,6.14621e+009,0,0,0
1,0,226272,1.06418e+009,0,0,0
1,0,239.519,61898.5,0,0,0
1,0,1515.65,1.70362e+009,0,0,0
1,0,275.899,4.20594e+007,0,0,0
1,0,115.083,1.52268e+009,0,0,0
1,0,196.89,5.19087e+009,0,0,0
1,0,107.657,4.48676e+008,0,0,0
1,0,1526.01,8.23161e+009,0,0,0
1,0,206.085,2.0155e+009,0,0,0
1,0,236.778,0,0,0,0
1,0,1515.65,0,0,0,0
1,1,49473.6,0,373226,4.39118e+006,4.04617e+006
1,2,16445.2,2.08747e+008,15540.3,891.702,10.7918
1,2,3934.97,1.49745e+007,245107,2301.91,13.5532
1,2,2109.81,5.00621e+007,7.11468e+006,75611.2,11125.2
1,2,31625.1,1.53094e+009,43138.8,10395,295.833
1,2,325.262,1.52414e+007,1.30545e+006,8.00839e+008,2.89128e+008
1,2,2202.67,2.33135e+008,8.8431e+006,474484,1.84233e+007
1,2,1264.87,1.31632e+008,2.45227e+007,428513,1.77642e+009
1,2,309.944,203.723,5.3487e+007,215795,63.5804
