GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,455902,3.32642e+009,0,0,0
0,0,11184.4,1.64539e+008,0,0,0
0,0,48304.6,7.94295e+009,0,0,0
0,0,348711,9.4182e+009,0,0,0
0,0,2467.34,9.40589e+010,0,0,0
0,0,27809.4,5.31868e+008,0,0,0
0,0,2616.61,1.65901e+009,0,0,0
0,0,30919,2.16751e+008,0,0,0
0,0,61.2298,1.6289e+010,0,0,0
0,0,11416.8,1.21285e+010,0,0,0
0,0,58.1291,4.09109e+008,0,0,0
0,0,2598.28,6.85312e+008,0,0,0
0,0,53.8879,0,0,0,0
0,1,64817.9,0,3.0842e+006,141.719,14576.9
0,1,26904.1,0,1.03301e+009,2.82138e+006,204732
0,1,1658.86,0,1.92239e+008,4.61675e+009,3.14719e+009
0,1,26134.4,0,2.73743e+008,1.29654e+010,1.39694e+010
0,1,1658.86,0,6.2488e+008,6.13237e+008,3.05615e+010
0,1,1695.09,0,3.53332e+010,40991.8,112897
0,1,1629.65,0,0,0,0
0,2,32087.4,6.69075e+007,2.68912e+007,8.80569e+006,4.08709e+006
0,2,6734.57,1.4882e+008,1.49061e+008,5.675e+008,2.74022e+007
0,2,4404.76,7.27093e+007,526048,3.92368e+007,3.35425e+007
0,2,291.851,1.52466e+006,1.57942e+010,271566,2.17218e+006
0,2,4019.33,3.68221e+010,5.36942e+009,2.06854e+010,2.61981e+010
0,2,958.024,1.51564e+009,4.43928e+008,1.37828e+009,2.77968e+009
0,2,2196.66,7.14093e+010,1.58548e+009,7.42853e+009,4.98143e+010
0,2,259.62,2.05871e+006,2.55512e+010,22240.9,791165
0,2,6100.95,3.50614e+008,715021,6.30922e+007,7.30244e+008
0,2,264.847,2.14959e+008,5.31657e+010,164508,1.2714e+007
0,2,254.372,0,0,0,0
0,2,288.581,0,0,0,0
0,2,7051.89,0,0,0,0
0,3,258.275,3.00919e+008,0,0,0
0,3,113.887,5.69195e+007,0,0,0
0,3,12.9404,2.1143e+007,0,0,0
0,3,11.0993,6.78268e+011,0,0,0
0,3,64.6307,3.98161e+008,0,0,0
0,3,3.0459,1.24088e+009,0,0,0
0,3,12.7751,0,0,0,0
0,3,3.31612,0,0,0,0
0,3,386.078,0,0,0,0
0,4,70.6555,0,3.39531e+008,125.608,6352.43
0,4,10.5781,0,3.01104e+009,1700.02,15129.4
0,4,1482.01,0,35252.9,3.25332e+006,3.59232e+007
0,4,878.942,0,1.39299e+006,2.95343e+006,6.26533e+008
0,4,451.167,0,4.38502e+010,80637.7,1.32654e+006
0,4,10.1894,0,0,0,0
0,4,715.576,0,1.26261e+010,6229.33,39604.6
0,4,2001,0,3.21194e+007,1.25278e+008,1.16919e+010
0,4,70.031,0,0,0,0
0,4,105.493,0,0,0,0
0,5,664.762,2.58748e+008,8.749e+006,3.5479e+007,8.13025e+008
0,5,1128.18,1.95976e+008,2.30131e+006,2.34094e+008,1.34558e+009
0,5,208.265,6.86681e+006,2.48209e+010,161916,1.13886e+007
0,5,2.29802,7.06691e+008,0,0,0
0,5,10.7494,1.87959e+006,4470.65,4.88804,0
0,5,10.2479,0,0,0,0
0,5,15.7982,0,0,0,0
0,6,407.057,882061,0,0,0
0,6,4361.31,4.89114e+007,0,0,0
0,6,29098.3,1.21954e+008,0,0,0
0,6,1993.98,2.41559e+007,0,0,0
0,6,14255.9,1.5349e+008,0,0,0
0,6,83644,5.90383e+007,0,0,0
0,6,235.422,1.4842e+008,0,0,0
0,6,1993.98,6.10557e+007,0,0,0
0,6,1866.16,3.04371e+007,0,0,0
0,6,432.666,2.26547e+006,0,0,0
0,6,4361.31,0,0,0,0
0,6,2023.09,0,0,0,0
0,7,15897.1,0,1.399e+007,5.37851e+007,483791
0,7,4610.42,0,9.89772e+006,1.14996e+008,6.67936e+006
0,7,1009.7,0,656317,2.01587e+007,2.57858e+006
0,7,1190.17,0,3.93664e+006,2.44994e+009,2.99741e+009
0,7,376.847,0,2.01133e+007,5.15427e+008,1.62675e+010
0,7,4271.29,0,2.39139e+006,4.55096e+008,4.14571e+008
0,7,153.942,0,1.00829e+009,465.14,44906.4
0,7,174.139,0,7.77347e+009,4182.95,70786.5
0,7,200.45,0,2.44872e+008,101384,1.23965e+007
0,7,470.171,0,1.31237e+009,178292,1.93971e+006
0,7,1034.1,0,146157,441439,8.08766e+007
