GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,455902,3.93934e+009,0,0,0
0,0,11184.4,6.23839e+007,0,0,0
0,0,48304.6,4.95688e+009,0,0,0
0,0,348711,1.06647e+010,0,0,0
0,0,2467.34,6.30862e+009,0,0,0
0,0,27809.4,6.44499e+008,0,0,0
0,0,2616.61,4.75329e+009,0,0,0
0,0,30919,3.77846e+008,0,0,0
0,0,61.2298,3.95128e+007,0,0,0
0,0,11416.8,7.50796e+009,0,0,0
0,0,58.1291,1.8776e+007,0,0,0
0,0,2598.28,2.46236e+009,0,0,0
0,0,53.8879,3.02986e+007,0,0,0
0,1,64817.9,0,312185,27.474,5069.17
0,1,1658.86,0,2.06321e+009,3.6387e+010,2.2632e+010
0,1,26134.4,0,3.08593e+010,2.68035e+008,1.17381e+010
0,1,19699.7,0,4.95153e+007,4.50632e+009,1.35283e+009
0,1,28460.6,0,1.40368e+008,7.65355e+007,2.58569e+010
0,1,43313.5,0,1.03869e+008,1.66739e+007,3.69448e+009
0,2,32087.4,4.35574e+007,992441,4.57005e+007,2.42151e+007
0,2,6734.57,9.10921e+007,683119,2.40156e+008,2.92742e+007
0,2,4404.76,8.15951e+007,238911,3.01737e+007,6.40286e+006
0,2,291.851,9917.37,6.32016e+008,70.1074,0.143282
0,2,4019.33,7.09264e+010,5.35189e+007,2.60803e+008,3.26429e+008
0,2,958.024,2.70752e+009,99802,164050,392671
0,2,2196.66,6.79174e+010,1.58847e+006,2.56912e+006,2.49894e+006
0,2,259.62,16603.4,7.44055e+008,78.0854,0.174486
0,2,6100.95,7.90416e+009,3.79368e+006,1.18403e+008,3.31209e+007
0,2,264.847,656.042,5.33492e+007,14.4598,0.0119926
0,2,254.372,50.8891,2.43075e+006,1.17488,0.000538287
0,2,288.581,3189.72,2.29155e+008,26.0977,0.0517911
0,2,7051.89,4.48459e+008,45492.4,48869.7,107829
0,3,258.275,7.99496e+007,0,0,0
0,3,113.887,4.17597e+006,0,0,0
0,3,12.9404,6.93938e+006,0,0,0
0,3,11.0993,6.0885e+011,0,0,0
0,3,64.6307,1.04929e+006,0,0,0
0,3,3.0459,1.47422e+009,0,0,0
0,3,12.7751,1.9231e+008,0,0,0
0,3,3.31612,3.62364e+007,0,0,0
0,3,386.078,3.21137e+007,0,0,0
0,4,70.6555,0,4.66141e+007,90.8318,0.995109
0,4,10.5781,0,9.74597e+006,6.48104e+006,176380
