GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,3.28864e+012
0,1,1.43001e+013
1,0,3.68116e+012
1,1,2.06503e+013
2,0,3.68073e+012
2,1,2.51495e+013
3,0,3.1934e+012
3,1,1.35727e+013
4,0,3.9516e+012
4,1,2.19856e+013
5,0,3.94613e+012
5,1,2.73224e+013
6,0,3.70609e+012
6,1,2.76694e+013
7,0,3.82247e+012
7,1,2.73837e+013
8,0,3.41871e+012
8,1,1.40723e+013
9,0,3.70753e+012
9,1,2.04077e+013
10,0,3.82779e+012
10,1,2.85728e+013
11,0,3.70011e+012
11,1,2.60879e+013
12,0,3.47975e+012
12,1,1.36065e+013
13,0,3.82893e+012
13,1,2.34612e+013
14,0,3.357e+012
14,1,1.7832e+013
15,0,2.64604e+012
15,1,1.06991e+013
