GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,2.39319e+012
0,1,9.02303e+012
1,0,3.41695e+012
1,1,2.5834e+013
2,0,2.96793e+012
2,1,2.16154e+013
3,0,2.28681e+012
3,1,1.01145e+013
4,0,3.36765e+012
4,1,1.8481e+013
5,0,3.34276e+012
5,1,2.8653e+013
6,0,3.10921e+012
6,1,2.61399e+013
7,0,2.98304e+012
7,1,2.53934e+013
8,0,3.5721e+012
8,1,2.45204e+013
9,0,3.63428e+012
9,1,2.82787e+013
10,0,3.27161e+012
10,1,2.61857e+013
11,0,3.15646e+012
11,1,2.55778e+013
12,0,3.65653e+012
12,1,2.48614e+013
13,0,3.67018e+012
13,1,2.96304e+013
14,0,3.04248e+012
14,1,1.84514e+013
15,0,3.41109e+012
15,1,2.32381e+013
