GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,2.4002e+012
0,1,9.03683e+012
1,0,3.41627e+012
1,1,2.36858e+013
2,0,3.18204e+012
2,1,2.25075e+013
3,0,2.59345e+012
3,1,1.1417e+013
4,0,3.44712e+012
4,1,1.89291e+013
5,0,3.4471e+012
5,1,2.87084e+013
6,0,3.08077e+012
6,1,2.56866e+013
7,0,3.14888e+012
7,1,2.53742e+013
8,0,3.55888e+012
8,1,2.09222e+013
9,0,3.76194e+012
9,1,2.67666e+013
10,0,3.30774e+012
10,1,2.62883e+013
11,0,3.30512e+012
11,1,2.57687e+013
12,0,3.63501e+012
12,1,2.12705e+013
13,0,3.70905e+012
13,1,2.74389e+013
14,0,2.94975e+012
14,1,1.74429e+013
15,0,3.18199e+012
15,1,1.69674e+013
