GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,2.56687e+012
0,1,1.53809e+013
1,0,2.58052e+012
1,1,1.64674e+013
2,0,2.97456e+012
2,1,2.76071e+013
3,0,2.28289e+012
3,1,1.33175e+013
4,0,3.02954e+012
4,1,1.84371e+013
5,0,2.78941e+012
5,1,1.89485e+013
6,0,3.17344e+012
6,1,2.3687e+013
7,0,2.71585e+012
7,1,2.46739e+013
8,0,2.12752e+012
8,1,6.84978e+012
9,0,1.94862e+012
9,1,8.60212e+012
10,0,3.38285e+012
10,1,2.82444e+013
11,0,2.93778e+012
11,1,1.80696e+013
12,0,1.74373e+012
12,1,5.56754e+012
13,0,2.99747e+012
13,1,1.38493e+013
14,0,3.02783e+012
14,1,1.84263e+013
15,0,2.05002e+012
15,1,8.99466e+012
