GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,3.07629e+012
0,1,1.61142e+013
1,0,2.87233e+012
1,1,1.64978e+013
2,0,3.38567e+012
2,1,2.72644e+013
3,0,2.75355e+012
3,1,1.42898e+013
4,0,3.43304e+012
4,1,2.04525e+013
5,0,3.27373e+012
5,1,2.21253e+013
6,0,3.59926e+012
6,1,2.72354e+013
7,0,3.29891e+012
7,1,2.59144e+013
8,0,2.57181e+012
8,1,8.28436e+012
9,0,2.53182e+012
9,1,1.18119e+013
10,0,3.72773e+012
10,1,2.93198e+013
11,0,3.62032e+012
11,1,2.28395e+013
12,0,2.12253e+012
12,1,6.59203e+012
13,0,3.28677e+012
13,1,1.60231e+013
14,0,3.24985e+012
14,1,1.86242e+013
15,0,1.98798e+012
15,1,7.35906e+012
