GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,2.84578e+012
0,1,1.59798e+013
1,0,2.82796e+012
1,1,1.59019e+013
2,0,2.71742e+012
2,1,2.3924e+013
3,0,2.2703e+012
3,1,1.24235e+013
4,0,2.64671e+012
4,1,1.1509e+013
5,0,2.14017e+012
5,1,7.51322e+012
6,0,2.58414e+012
6,1,1.61456e+013
7,0,2.49144e+012
7,1,1.7384e+013
8,0,2.60148e+012
8,1,1.03136e+013
9,0,8.61033e+011
9,1,2.86888e+012
10,0,2.50964e+012
10,1,1.10489e+013
11,0,2.5052e+012
11,1,1.39011e+013
12,0,2.21407e+012
12,1,8.87788e+012
13,0,3.07914e+012
13,1,1.2797e+013
14,0,3.25027e+012
14,1,1.83022e+013
15,0,2.80989e+012
15,1,1.3399e+013
