GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,2.41804e+012
0,1,1.37391e+013
1,0,2.51299e+012
1,1,1.39162e+013
2,0,2.77875e+012
2,1,2.51512e+013
3,0,2.22161e+012
3,1,1.21758e+013
4,0,2.64461e+012
4,1,1.25146e+013
5,0,2.17147e+012
5,1,9.12198e+012
6,0,2.70302e+012
6,1,1.66667e+013
7,0,2.36295e+012
7,1,1.9246e+013
8,0,1.92759e+012
8,1,5.75697e+012
9,0,9.40732e+011
9,1,2.95539e+012
10,0,2.74279e+012
10,1,1.67731e+013
11,0,2.39543e+012
11,1,1.34021e+013
12,0,1.80952e+012
12,1,7.19151e+012
13,0,2.90825e+012
13,1,1.1332e+013
14,0,3.06972e+012
14,1,1.78466e+013
15,0,2.40669e+012
15,1,1.09314e+013
