GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,3.25722e+012
0,1,1.52122e+013
1,0,3.24634e+012
1,1,1.75455e+013
2,0,3.74876e+012
2,1,2.65828e+013
3,0,3.12975e+012
3,1,1.37783e+013
4,0,3.77031e+012
4,1,2.14042e+013
5,0,3.74122e+012
5,1,2.4806e+013
6,0,3.78986e+012
6,1,2.81455e+013
7,0,3.79666e+012
7,1,2.73211e+013
8,0,3.10432e+012
8,1,1.1263e+013
9,0,3.19267e+012
9,1,1.55234e+013
10,0,3.8513e+012
10,1,2.90405e+013
11,0,3.82092e+012
11,1,2.53097e+013
12,0,2.79042e+012
12,1,9.21776e+012
13,0,3.5574e+012
13,1,1.88689e+013
14,0,3.31798e+012
14,1,1.75567e+013
15,0,2.18853e+012
15,1,8.01589e+012
