GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,2.39742e+012
0,1,1.47149e+013
1,0,2.49409e+012
1,1,1.51349e+013
2,0,2.82576e+012
2,1,2.7159e+013
3,0,2.11913e+012
3,1,1.27076e+013
4,0,2.81002e+012
4,1,1.606e+013
5,0,2.47449e+012
5,1,1.50628e+013
6,0,2.89131e+012
6,1,1.9706e+013
7,0,2.4319e+012
7,1,2.28002e+013
8,0,1.79541e+012
8,1,5.3528e+012
9,0,1.49498e+012
9,1,5.86319e+012
10,0,3.11617e+012
10,1,2.55241e+013
11,0,2.538e+012
11,1,1.55566e+013
12,0,1.68498e+012
12,1,6.20404e+012
13,0,2.8727e+012
13,1,1.26091e+013
14,0,2.9358e+012
14,1,1.8435e+013
15,0,2.10693e+012
15,1,1.01374e+013
