GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,2.95394e+012
0,1,1.21928e+013
1,0,3.69991e+012
1,1,2.25774e+013
2,0,3.38076e+012
2,1,2.33022e+013
3,0,2.95455e+012
3,1,1.26e+013
4,0,3.71671e+012
4,1,2.04732e+013
5,0,3.78657e+012
5,1,2.85291e+013
6,0,3.39224e+012
6,1,2.65645e+013
7,0,3.47754e+012
7,1,2.60072e+013
8,0,3.44563e+012
8,1,1.63986e+013
9,0,3.81249e+012
9,1,2.39923e+013
10,0,3.55849e+012
10,1,2.72226e+013
11,0,3.49713e+012
11,1,2.58084e+013
12,0,3.59749e+012
12,1,1.72424e+013
13,0,3.80132e+012
13,1,2.54285e+013
14,0,3.12371e+012
14,1,1.68311e+013
15,0,2.96974e+012
15,1,1.43055e+013
