GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,2.5885e+012
0,1,1.44953e+013
1,0,2.61283e+012
1,1,1.43241e+013
2,0,2.81276e+012
2,1,2.46094e+013
3,0,2.28927e+012
3,1,1.22762e+013
4,0,2.79963e+012
4,1,1.26192e+013
5,0,2.18563e+012
5,1,8.26541e+012
6,0,2.70889e+012
6,1,1.65279e+013
7,0,2.45377e+012
7,1,1.81822e+013
8,0,2.19967e+012
8,1,7.47748e+012
9,0,8.80768e+011
9,1,2.89414e+012
10,0,2.69743e+012
10,1,1.44115e+013
11,0,2.55316e+012
11,1,1.40455e+013
12,0,1.90382e+012
12,1,7.24991e+012
13,0,2.94382e+012
13,1,1.15366e+013
14,0,3.19576e+012
14,1,1.8051e+013
15,0,2.69265e+012
15,1,1.25784e+013
