GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,2.36291e+012
0,1,1.40687e+013
1,0,2.46646e+012
1,1,1.41264e+013
2,0,2.78362e+012
2,1,2.62241e+013
3,0,2.13611e+012
3,1,1.22624e+013
4,0,2.68704e+012
4,1,1.39569e+013
5,0,2.27628e+012
5,1,1.16977e+013
6,0,2.74892e+012
6,1,1.74145e+013
7,0,2.36036e+012
7,1,2.10288e+013
8,0,1.8946e+012
8,1,5.95456e+012
9,0,1.10923e+012
9,1,3.77918e+012
10,0,2.89329e+012
10,1,2.08748e+013
11,0,2.42818e+012
11,1,1.41676e+013
12,0,1.65706e+012
12,1,6.38664e+012
13,0,2.78171e+012
13,1,1.11248e+013
14,0,2.93813e+012
14,1,1.80934e+013
15,0,2.19824e+012
15,1,1.03157e+013
