"var","x","y"
3940034.276,31.5,-4.5
3940034.276,32.5,-4.5
3940034.276,33.5,-4.5
3940034.276,34.5,-4.5
3940034.276,31.5,-3.5
3940034.276,32.5,-3.5
1180510.896,33.5,-3.5
3940034.276,34.5,-3.5
3940034.276,31.5,-2.5
1180510.896,32.5,-2.5
1180510.896,33.5,-2.5
3940034.276,34.5,-2.5
3940034.276,31.5,-1.5
1180510.896,32.5,-1.5
1180510.896,33.5,-1.5
3940034.276,34.5,-1.5
