0,0,3824260000000
0,1,36030200000000
1,0,3692270000000
1,1,34762200000000
2,0,3438100000000
2,1,31818700000000
3,0,3292650000000
3,1,33621500000000
4,0,3786450000000
4,1,36725200000000
5,0,3689370000000
5,1,35394800000000
6,0,3546050000000
6,1,33977700000000
7,0,3298230000000
7,1,34472400000000
8,0,3859910000000
8,1,37794900000000
9,0,3850710000000
9,1,37029700000000
10,0,3660040000000
10,1,35019900000000
11,0,3510270000000
11,1,35305500000000
12,0,4120210000000
12,1,41643400000000
13,0,3976730000000
13,1,38463300000000
14,0,3964280000000
14,1,37975200000000
15,0,3947750000000
15,1,43002000000000
