FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,9.4835e+009,2.40759e+008
0,0.1,1,2.19651e+009,6.06343e+007
0,1,10,7.56484e+008,3.46084e+008
0,10,100,3.12264e+008,1.40642e+009
0,100,1000,2.14583e+006,2.12231e+008
0,1000,10000,634530,2.11758e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,127672,90993.3
1,10,100,5.59474e+008,2.10605e+009
1,100,1000,1.34012e+007,8.96582e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,4.93645e+008,1.0496e+008
2,1,10,2.51263e+008,3.11866e+008
2,10,100,1.15677e+008,1.25585e+009
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,4.8247e+013,1.21558e+010
3,0.01,0.1,2.97223e+012,2.9419e+009
3,0.1,1,2.09206e+008,5.41645e+006
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,1.02056e+009,4.58159e+006
4,0.01,0.1,2.04495e+011,6.5886e+008
4,0.1,1,3.36728e+009,2.2082e+008
4,1,10,1.75432e+007,7.7776e+006
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.02675e+013,5.04402e+009
5,0.01,0.1,3.0184e+011,8.80465e+008
5,0.1,1,8.73516e+007,4.22891e+006
5,1,10,5.08468e+006,1.09605e+006
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,9.81848e+010,9.72275e+008
6,0.1,1,8.13167e+007,4.33018e+006
6,1,10,2.35158e+007,6.60408e+007
6,10,100,6.87841e+007,8.68024e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,2.40928e+006,25524.1
7,0.1,1,2.46053e+009,4.83649e+007
7,1,10,8.68204e+007,8.34426e+007
7,10,100,2.47782e+008,7.26201e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,4.37683e+008,6.90261e+006
8,0.1,1,4.34407e+008,1.02202e+007
8,1,10,5.80176e+006,1.63334e+007
8,10,100,9.20702e+007,7.94702e+008
8,100,1000,0,0
8,1000,10000,0,0
