FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,1.59749e+010,2.33588e+008
0,0.1,1,1.46304e+010,2.31582e+009
0,1,10,1.44328e+009,1.39048e+009
0,10,100,1.08535e+008,5.64529e+008
0,100,1000,1.74441e+006,3.35142e+008
0,1000,10000,443679,3.37955e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,3.2913e+007,7.07482e+007
1,10,100,2.79845e+008,1.34921e+009
1,100,1000,2.03152e+006,2.10977e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,1.24295e+010,1.44092e+009
2,1,10,2.98472e+009,2.09075e+009
2,10,100,1.9266e+008,8.10415e+008
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.69256e+012,5.64336e+009
3,0.01,0.1,2.20866e+012,5.49996e+009
3,0.1,1,8.79454e+008,5.66009e+007
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,77520.5,558.183
4,0.01,0.1,1.28118e+010,7.18669e+008
4,0.1,1,1.73777e+010,3.12543e+009
4,1,10,5.82883e+007,5.54287e+007
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,9.66619e+011,2.34142e+009
5,0.01,0.1,7.79544e+011,2.36371e+009
5,0.1,1,1.29571e+009,1.93755e+008
5,1,10,9.22325e+006,9.10174e+006
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.54804e+010,1.32036e+008
6,0.1,1,1.06798e+009,1.12158e+008
6,1,10,8.69381e+007,8.54449e+007
6,10,100,8.21623e+006,1.76774e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,2.63174e+009,1.5452e+007
7,0.1,1,2.47357e+010,1.41212e+009
7,1,10,1.59766e+008,2.31499e+008
7,10,100,1.13036e+008,6.16067e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.85797e+009,1.88161e+008
8,0.1,1,1.80101e+009,2.54997e+008
8,1,10,2.13304e+007,3.06453e+007
8,10,100,2.52188e+007,3.45659e+008
8,100,1000,0,0
8,1000,10000,0,0
