FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,9.17028e+010,1.12189e+009
0,0.1,1,5.11996e+010,1.97842e+009
0,1,10,2.71368e+009,1.02608e+009
0,10,100,3.04331e+008,7.63789e+008
0,100,1000,1.35981e+006,2.95278e+008
0,1000,10000,485687,2.91814e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,3.23912e+006,5.757e+006
1,10,100,2.04222e+008,1.23763e+009
1,100,1000,3.50854e+006,3.42113e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,5.1472e+010,3.18612e+009
2,1,10,2.04605e+009,8.56391e+008
2,10,100,8.14871e+007,6.49434e+008
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,7.82412e+012,1.22505e+010
3,0.01,0.1,4.15369e+012,6.48689e+009
3,0.1,1,5.35363e+009,7.84983e+007
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,1.12163e+006,715.067
4,0.01,0.1,6.83046e+011,5.51745e+009
4,0.1,1,1.6194e+010,1.01581e+009
4,1,10,1.03647e+008,3.62304e+007
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.38719e+012,3.16798e+009
5,0.01,0.1,6.30125e+011,3.3389e+009
5,0.1,1,1.22138e+010,1.88078e+008
5,1,10,8.41754e+006,6.26328e+006
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.37952e+010,1.00141e+008
6,0.1,1,1.66999e+009,7.66494e+007
6,1,10,1.22778e+008,6.451e+007
6,10,100,1.34935e+007,3.35919e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,9.29965e+009,1.31736e+008
7,0.1,1,1.06267e+011,2.91906e+009
7,1,10,2.27548e+008,1.19841e+008
7,10,100,1.9066e+008,6.66995e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,4.86292e+010,9.75902e+008
8,0.1,1,2.16216e+009,1.35552e+008
8,1,10,1.95989e+007,2.01891e+007
8,10,100,7.15516e+007,5.52633e+008
8,100,1000,0,0
8,1000,10000,0,0
