FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,1.67629e+011,9.9065e+008
0,0.1,1,2.65362e+010,9.1077e+008
0,1,10,8.10743e+008,6.22166e+008
0,10,100,7.61061e+008,1.08627e+009
0,100,1000,1.50363e+006,2.61158e+008
0,1000,10000,515745,2.61953e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,1.87449e+006,1.90216e+006
1,10,100,1.99293e+008,9.7017e+008
1,100,1000,4.42864e+006,3.68455e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,1.21374e+010,9.17302e+008
2,1,10,8.52725e+008,5.01175e+008
2,10,100,6.61175e+007,7.84882e+008
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,2.44595e+013,2.24897e+010
3,0.01,0.1,1.5876e+012,5.94421e+009
3,0.1,1,4.97862e+008,3.42753e+007
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,2.81028e+009,3.99955e+007
4,0.01,0.1,1.02513e+012,4.67782e+009
4,0.1,1,2.38804e+010,4.28922e+008
4,1,10,3.45073e+007,1.1986e+007
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.92406e+012,5.77556e+009
5,0.01,0.1,5.27323e+011,2.12663e+009
5,0.1,1,1.11582e+009,4.35118e+007
5,1,10,7.35245e+006,4.35269e+006
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.00362e+012,3.30304e+009
6,0.1,1,8.78305e+008,2.23022e+007
6,1,10,4.59725e+007,4.88471e+007
6,10,100,2.61089e+007,5.22e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,1.89848e+008,1.7463e+006
7,0.1,1,3.68352e+010,6.90162e+008
7,1,10,1.52675e+008,1.07034e+008
7,10,100,2.25226e+008,7.12726e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.65311e+010,2.30984e+008
8,0.1,1,2.11868e+009,3.79599e+007
8,1,10,5.42114e+006,1.49985e+007
8,10,100,4.90278e+007,6.39231e+008
8,100,1000,0,0
8,1000,10000,0,0
