FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,1.85792e+010,3.25312e+008
0,0.1,1,2.97446e+010,2.43293e+009
0,1,10,1.76153e+009,1.09925e+009
0,10,100,1.94607e+008,6.55179e+008
0,100,1000,1.95945e+006,3.08769e+008
0,1000,10000,471209,3.07063e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,7.71868e+006,1.48533e+007
1,10,100,1.34376e+008,1.29448e+009
1,100,1000,2.98138e+006,2.84531e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,4.70098e+010,2.87284e+009
2,1,10,1.73338e+009,1.12742e+009
2,10,100,1.35377e+008,6.55575e+008
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,2.5456e+012,9.73031e+009
3,0.01,0.1,4.12145e+012,6.03625e+009
3,0.1,1,3.85136e+009,9.70946e+007
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,341520,257.096
4,0.01,0.1,1.26425e+011,9.78716e+008
4,0.1,1,1.54458e+010,2.04057e+009
4,1,10,9.48998e+007,4.80037e+007
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.39978e+012,2.95409e+009
5,0.01,0.1,9.12563e+011,2.11773e+009
5,0.1,1,3.64829e+009,1.57823e+008
5,1,10,9.2969e+006,7.02211e+006
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,7.80418e+009,1.40601e+008
6,0.1,1,1.86392e+009,8.74333e+007
6,1,10,1.11507e+008,7.35852e+007
6,10,100,9.73164e+006,2.62127e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,7.041e+009,1.62976e+008
7,0.1,1,4.96939e+010,2.85282e+009
7,1,10,2.01107e+008,1.42316e+008
7,10,100,1.51816e+008,6.43531e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.41709e+010,1.25755e+009
8,0.1,1,4.73758e+009,2.42519e+008
8,1,10,2.11687e+007,2.47604e+007
8,10,100,4.85413e+007,4.8168e+008
8,100,1000,0,0
8,1000,10000,0,0
