FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,8.80877e+010,4.04552e+008
0,0.1,1,2.85612e+009,1.2541e+008
0,1,10,6.40257e+008,4.08985e+008
0,10,100,1.98667e+008,1.27239e+009
0,100,1000,1.83816e+006,2.14224e+008
0,1000,10000,614004,2.25751e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,162075,222649
1,10,100,4.10978e+008,1.54386e+009
1,100,1000,7.40339e+006,6.76259e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,1.07004e+010,2.28737e+008
2,1,10,3.08804e+008,3.23198e+008
2,10,100,9.70647e+007,1.17014e+009
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,3.38874e+013,1.60233e+010
3,0.01,0.1,1.53733e+012,3.59264e+009
3,0.1,1,3.99831e+008,7.83289e+006
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,3.38756e+008,1.63825e+006
4,0.01,0.1,1.66997e+011,1.27042e+009
4,0.1,1,1.99592e+009,2.74185e+008
4,1,10,6.35688e+006,6.36176e+006
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,4.09013e+012,5.5729e+009
5,0.01,0.1,4.10552e+011,1.84419e+009
5,0.1,1,1.5081e+008,7.97573e+006
5,1,10,4.91751e+006,1.72123e+006
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.42322e+011,1.58142e+009
6,0.1,1,1.05638e+008,6.27422e+006
6,1,10,3.82611e+007,5.11026e+007
6,10,100,5.56392e+007,8.16975e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,2.71864e+006,80468.7
7,0.1,1,2.49045e+009,1.07036e+008
7,1,10,8.60168e+007,9.72831e+007
7,10,100,1.36025e+008,6.62895e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,6.95081e+008,1.88896e+007
8,0.1,1,1.89279e+009,1.74646e+007
8,1,10,5.06254e+006,1.47816e+007
8,10,100,7.95833e+007,7.83303e+008
8,100,1000,0,0
8,1000,10000,0,0
