GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,3832.94,455902,201228,70671.1,-2.34468,0,0.5,2,0,4294967295,0,21,21,0
0,0,1905.67,36593,36593,8460.89,-2.30426,0,0.5,2,29105.4,11,1,21,12,9
0,0,664.751,11184.4,11184.4,8501.28,-2.20265,0,0.5,2,12684,8,1,21,9,12
0,0,16038.3,348711,348394,12089,-2.46243,0,0.5,2,0,4294967295,0,21,21,0
0,0,31.7637,1504.98,1504.98,720.245,-2.24328,6,0.5,2,2330.56,12,1,14,6,8
0,0,3.26323,44.6019,44.6019,188219,-2.35147,11,0.5,2,196.198,14,1,9,3,6
0,0,49.8727,2594.96,2594.96,1.52257e+006,-2.24328,12,0.5,2,1058.21,20,1,8,8,0
0,0,14.6203,453.483,453.483,4.73293e+006,-2.71651,13,0.5,2,976.01,18,1,7,5,2
0,0,31.2915,1493.45,1037.29,2.57415e+007,-2.24328,15,0.5,2,0,4294967295,0,5,5,0
0,0,14.5959,442.04,442.04,14809.7,-2.71651,15,0.5,2,329.991,19,1,5,4,1
0,0,2682.77,127550,127550,42740.7,-2.50065,0,0.5,2,49028.9,18,1,21,19,2
0,0,670.996,12009.9,3573.62,406278,-2.20265,16,0.5,2,0,4294967295,0,4,4,0
0,0,1981.04,36522.3,7722.32,141134,-2.30426,16,0.5,2,0,4294967295,0,4,4,0
0,0,2.52228,88.5804,88.5804,31723.4,-2.24328,16,0.5,2,109.3,19,1,4,3,1
0,0,3.56454,42.1353,42.1353,49036.6,-2.35147,16,0.5,2,127.268,18,1,4,2,2
0,0,3.5336,43.909,43.909,1.14748e+006,-2.35147,17,0.5,2,63.515,20,1,3,3,0
0,0,32.5396,1501.74,367.366,1.53094e+006,-2.24328,17,0.5,2,0,4294967295,0,3,3,0
0,0,85.9806,6270.87,1104.62,19188.5,-2.34468,16,0.5,2,0,4294967295,0,4,4,0
0,0,96095.5,2.70317e+006,814776,105326,-2.30151,0,0.5,2,0,4294967295,0,21,21,0
0,1,1578.92,24805.7,24805.7,7.98458,-0.0148822,0,0.5,3.98595,52182.9,3,1,21,4,17
0,1,1581.78,25836.5,25836.5,1.0017e+006,-0.0148822,10,0.5,3.95112,10784.3,19,1,10,9,1
0,1,1599.95,25369.9,6799.99,7.84048e+006,-0.0148822,16,0.5,3.69221,0,4294967295,0,4,4,0
0,2,926.476,13521.7,13521.7,10741.6,-2.46243,0,0.5,3.21073,22959.9,11,1,21,12,9
0,2,425.126,7011.96,7011.96,9088.34,-2.20265,10,0.5,3.1578,10545.2,14,1,10,4,6
0,2,8.68795,263.68,263.68,2.13477e+006,-2.71651,12,0.5,2.00016,344.607,14,1,8,2,6
0,2,113.524,3413.69,3413.69,186612,-2.50065,12,0.5,2.11351,3701.7,16,1,8,4,4
0,2,823.296,44769.6,44769.6,63965.3,-2.71651,0,0.5,2.54033,27122.8,16,1,21,17,4
0,2,926.476,13521.7,13521.7,88959.1,-2.46243,14,0.5,3.11613,416.635,20,1,6,6,0
0,2,113.463,9069.94,3258.11,1.12873e+006,-2.34468,14,0.5,2.11249,0,4294967295,0,6,6,0
0,2,35.8125,2457.55,1292.36,1.1067e+008,-2.34468,14,0.5,2.00139,0,4294967295,0,6,6,0
0,2,25.3283,531.856,531.856,1.20907e+007,-2.35147,15,0.5,2.00018,46.3371,20,1,5,5,0
0,2,9.04783,265.655,212.881,593718,-2.71651,15,0.5,2.00052,0,4294967295,0,5,5,0
0,2,123.796,3580.85,1588.12,9.13903e+006,-2.50065,15,0.5,2.00416,0,4294967295,0,5,5,0
0,2,926.476,13521.7,3929.49,76788.7,-2.46243,16,0.5,2.15153,0,4294967295,0,4,4,0
0,2,425.126,7011.96,1946.13,2.7388e+006,-2.20265,16,0.5,2.01567,0,4294967295,0,4,4,0
0,2,119.954,8547.5,1044.93,8.67773e+006,-2.34468,16,0.5,2.0004,0,4294967295,0,4,4,0
0,2,113.524,3413.69,340.517,2.50305e+006,-2.50065,17,0.5,2.00019,0,4294967295,0,3,3,0
0,2,8.91931,268.573,57.2765,1.537e+006,-2.71651,17,0.5,2.00518,0,4294967295,0,3,3,0
0,2,425.126,7011.96,957.984,610124,-2.20265,17,0.5,2.00065,0,4294967295,0,3,3,0
0,3,10.0063,246.996,246.996,518553,-2.18799,10,0.0947426,2,426.956,17,1,10,7,3
0,3,4.87042,110.696,110.696,669066,-2.20756,12,0.0947426,2,192.952,17,1,8,5,3
0,3,4.25066,36.8055,36.8055,534040,-2.20265,14,0.0947426,2,90.3453,17,1,6,3,3
0,3,2.18291,62.7695,53.0865,1.57739e+006,-2.71651,16,0.0947426,2,0,4294967295,0,4,4,0
0,3,0.448044,3.118,3.118,1.3251e+006,-2.46243,16,0.0947426,2,11.8438,18,1,4,2,2
0,3,0.481845,2.8038,2.8038,5.49279e+007,-2.46243,17,0.0947426,2,6.61955,19,1,3,2,1
0,3,41.3797,381.107,175.229,663478,-2.30151,17,0.0947426,2,0,4294967295,0,3,3,0
0,4,67.7655,798.043,795.1,3.45521e+007,-2.30426,14,0.0947426,3.38926,311.414,18,1,6,4,2
0,4,6.32622,111.161,62.9876,644090,-2.35147,14,0.0947426,3.07706,0,4294967295,0,6,6,0
0,4,171.762,2001,1696.38,1.8479e+007,-2.30151,15,0.0947426,3.51872,0,4294967295,0,5,5,0
0,4,26.6059,720.999,205.968,263186,-2.18799,15,0.0947426,3.34887,0,4294967295,0,5,5,0
0,4,11.343,447.827,20.9428,656275,-2.24328,16,0.0947426,3.00506,0,4294967295,0,4,4,0
0,5,40.9562,1230.76,1230.76,1.61481e+006,-2.50065,10,0.0947426,2.00115,1075.21,17,1,10,7,3
0,5,9.27481,212.924,212.924,1.92467e+006,-2.18799,14,0.0947426,2.00013,99.156,19,1,6,5,1
0,5,8.59219,212.48,72.7076,153.732,-2.18799,16,0.0947426,2.00246,0,4294967295,0,4,4,0
0,5,0.41207,2.21696,2.21696,11.6468,-2.30151,16,0.0947426,2,6.46218,18,1,4,2,2
0,5,2.00225,12.5492,12.5492,2.01756e+006,-2.46243,16,0.0947426,2.00087,13.8745,19,1,4,3,1
0,5,13.0008,662.522,55.0985,1.52381e+006,-2.34468,17,0.0947426,2.00543,0,4294967295,0,3,3,0
0,6,41.4649,397.909,397.909,8016.4,-2.46243,0,0.0947426,2,604.894,5,1,21,6,15
0,6,107.858,4361.31,4361.31,3073.14,-2.71651,0,0.0947426,2,2273.6,14,1,21,15,6
0,6,1558.74,29098.3,28726.6,145207,-2.30426,0,0.0947426,2,0,4294967295,0,21,21,0
0,6,340.553,14255.9,14255.9,55862.2,-2.20756,0,0.0947426,2,2023,19,1,21,20,1
0,6,59.2932,1624.31,1624.31,38849.5,-2.50065,0,0.0947426,2,1150.05,10,1,21,11,10
0,6,153.618,1759.23,1759.23,736878,-2.30151,10,0.0947426,2,710.487,19,1,10,9,1
0,6,10.3326,230.921,230.921,838730,-2.18799,12,0.0947426,2,228.375,18,1,8,6,2
0,6,58.1369,1722.42,1047.8,4.3522e+006,-2.50065,12,0.0947426,2,0,4294967295,0,8,8,0
0,6,18.3773,397.957,350.588,227831,-2.35147,14,0.0947426,2,0.188799,4294967295,0,6,6,0
0,6,9.45806,238.148,238.148,44431.6,-2.18799,14,0.0947426,2,20.2552,20,1,6,6,0
0,6,57.5942,1734.54,465.337,1.96299e+006,-2.50065,15,0.0947426,2,0,4294967295,0,5,5,0
0,6,40.8982,420.485,269.021,19754.5,-2.46243,16,0.0947426,2,0,4294967295,0,4,4,0
0,6,9.45806,238.148,114.244,40436.6,-2.18799,16,0.0947426,2,0,4294967295,0,4,4,0
0,6,57.7783,1608.51,221.425,684998,-2.50065,17,0.0947426,2,0,4294967295,0,3,3,0
0,6,108.61,4156.31,349,108305,-2.71651,17,0.0947426,2,0,4294967295,0,3,3,0
0,7,82.6776,5584.63,5584.63,19236.2,-2.34468,0,0.0947426,3.56195,9161.17,11,1,21,12,9
0,7,33.6989,1009.7,1009.7,3471.79,-2.20756,0,0.0947426,3.30384,1455.71,7,1,21,8,13
0,7,122.302,1628.91,1628.91,1.24584e+006,-2.20265,11,0.0947426,3.46928,2336.53,16,1,9,5,4
0,7,873.258,14221.9,14221.9,57568.9,-2.20265,12,0.0947426,3.53166,5232,19,1,8,7,1
0,7,6.54316,154.985,151.124,55886.1,-2.71651,12,0.0947426,3.09252,115.702,15,1,8,3,5
0,7,6.0059,178.317,61.7455,771537,-2.71651,13,0.0947426,3.02202,0,4294967295,0,7,7,0
0,7,82.4754,6055.03,2760.17,4.85957e+006,-2.34468,14,0.0947426,3.53821,0,4294967295,0,6,6,0
0,7,685.672,14928.5,9181.74,97978.4,-2.20265,14,0.0947426,3.53935,0,4294967295,0,6,6,0
0,7,16.8294,364.275,208.562,860584,-2.50065,15,0.0947426,3.48024,0,4294967295,0,5,5,0
0,7,824.547,15905,5127.94,143888,-2.20265,16,0.0947426,3.55721,0,4294967295,0,4,4,0
0,7,82.6776,5584.63,378.772,2.19696e+006,-2.34468,16,0.0947426,3.36016,0,4294967295,0,4,4,0
0,7,6.54316,154.985,4.95784,4.00425e+006,-2.71651,16,0.0947426,3,0,4294967295,0,4,4,0
0,7,31.2234,1055.68,162.117,1740.3,-2.20756,16,0.0947426,3.35751,0,4294967295,0,4,4,0
0,7,41.8813,395.725,167.901,594665,-2.30151,16,0.0947426,3.46407,0,4294967295,0,4,4,0
0,7,123.436,1613.87,229.004,1.95735e+006,-2.20265,17,0.0947426,3.33644,0,4294967295,0,3,3,0
0,7,32.2964,974.299,43.5254,156647,-2.20756,17,0.0947426,3.03836,0,4294967295,0,3,3,0
0,7,17.8776,386.833,20.6522,1.82667e+006,-2.50065,17,0.0947426,3.00035,0,4294967295,0,3,3,0
0,7,2889.51,49493.5,49493.5,9422.92,-2.30151,0,0.0988079,3.00816,52468.6,10,1,21,11,10
0,8,646.7,10676.2,10676.2,45467.6,-2.30426,0,0.0947426,3.17503,9274.59,15,1,21,16,5
0,8,5.98426,228.681,228.681,730.932,-2.24328,0,0.0947426,2.00011,321.247,4,1,21,5,16
0,8,152.626,5733.15,5733.15,447.015,-2.18799,0,0.0947426,3.08297,4867.94,14,1,21,15,6
0,8,59.0045,644.023,644.023,1.47532e+006,-2.20265,12,0.0947426,2.00128,634.581,17,1,8,5,3
0,8,14.7817,106.959,106.959,658611,-2.30151,12,0.0947426,2.00038,175.631,15,1,8,3,5
0,8,157.531,5707.62,625.103,19298.4,-2.18799,16,0.0947426,2.00028,0,4294967295,0,4,4,0
0,8,5.98426,228.681,53.4128,480455,-2.24328,16,0.0947426,2.00477,0,4294967295,0,4,4,0
0,8,15.5728,98.644,62.4638,946148,-2.30151,17,0.0947426,2.00439,0,4294967295,0,3,3,0
0,8,5.17355,137.621,137.621,320.183,-2.71651,14,0.0988079,2.9979,730.639,18,1,6,4,2
1,0,2370.56,110692,110692,87634,-2.50065,0,0.5,2,54989.4,17,1,21,18,3
1,0,5.39529,304.756,304.756,108120,-2.34468,11,0.5,2,506.127,16,1,9,5,4
1,0,4.6734,125.154,125.154,1.66204e+008,-2.20756,14,0.5,2,242.841,17,1,6,3,3
1,0,5.67433,214.145,214.145,8756.74,-2.34468,15,0.5,2,271.746,19,1,5,4,1
1,0,474.655,15325,4201.01,4.4809e+006,-2.35147,15,0.5,2,0,4294967295,0,5,5,0
1,0,28.6215,250.676,250.676,3314.89,-2.46243,15,0.5,2,534.593,18,1,5,3,2
1,0,5.60868,304.167,283.867,8.74179e+006,-2.34468,16,0.5,2,0,4294967295,0,4,4,0
