FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,4.16032e+010,3.78282e+008
0,0.1,1,2.95323e+010,2.47681e+009
0,1,10,2.0258e+009,1.27272e+009
0,10,100,1.57284e+008,6.07571e+008
0,100,1000,1.86313e+006,3.25926e+008
0,1000,10000,457245,3.22403e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,2.87365e+007,3.60494e+007
1,10,100,2.77326e+008,1.18512e+009
1,100,1000,2.63333e+006,2.6426e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,1.38159e+010,1.98114e+009
2,1,10,3.54587e+009,1.63452e+009
2,10,100,1.92872e+008,6.94123e+008
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,2.30505e+012,7.45893e+009
3,0.01,0.1,3.83438e+012,6.04067e+009
3,0.1,1,4.62752e+009,1.06936e+008
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,87667,631.859
4,0.01,0.1,9.68804e+009,4.44886e+008
4,0.1,1,1.70023e+010,3.19594e+009
4,1,10,8.66623e+007,6.72548e+007
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.11997e+012,3.17993e+009
5,0.01,0.1,8.5625e+011,2.22185e+009
5,0.1,1,2.21473e+009,1.84774e+008
5,1,10,8.69395e+006,8.06889e+006
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.40277e+010,1.91785e+008
6,0.1,1,1.00563e+009,1.00179e+008
6,1,10,9.87462e+007,7.84016e+007
6,10,100,1.02273e+007,2.12602e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,8.27021e+008,3.54155e+007
7,0.1,1,2.75713e+010,2.03641e+009
7,1,10,2.00285e+008,1.83341e+008
7,10,100,1.30723e+008,6.12232e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,5.13741e+010,8.07927e+008
8,0.1,1,1.78194e+009,2.45938e+008
8,1,10,1.75217e+007,2.5176e+007
8,10,100,3.67118e+007,4.06151e+008
8,100,1000,0,0
8,1000,10000,0,0
