FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,1.05667e+010,1.24138e+008
0,0.1,1,5.89824e+010,1.66686e+009
0,1,10,1.78732e+009,1.40453e+009
0,10,100,1.13676e+008,5.38295e+008
0,100,1000,7.44876e+006,3.47899e+008
0,1000,10000,417708,3.69314e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,1.84531e+008,2.1623e+008
1,10,100,6.48197e+008,1.64347e+009
1,100,1000,1.37435e+006,1.43207e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,2.56357e+010,1.02429e+009
2,1,10,1.47455e+010,2.50196e+009
2,10,100,2.42931e+008,8.87871e+008
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,7.28337e+012,6.76142e+009
3,0.01,0.1,7.7339e+011,3.6909e+009
3,0.1,1,2.42396e+009,5.64211e+007
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,60799.8,735.285
4,0.01,0.1,4.05017e+010,6.61246e+008
4,0.1,1,3.36698e+010,1.4378e+009
4,1,10,4.67912e+008,9.80082e+007
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,6.98468e+011,1.29114e+009
5,0.01,0.1,5.73429e+011,1.09463e+009
5,0.1,1,1.58786e+009,2.12739e+008
5,1,10,7.97592e+007,1.20241e+007
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.67981e+010,2.36943e+008
6,0.1,1,2.28208e+009,1.28093e+008
6,1,10,7.23571e+007,8.28241e+007
6,10,100,1.14091e+007,1.42222e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,1.09902e+009,5.99828e+006
7,0.1,1,1.97539e+010,8.13604e+008
7,1,10,5.76022e+008,3.22038e+008
7,10,100,1.82684e+008,5.59592e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,3.74764e+009,3.34756e+007
8,0.1,1,9.69023e+009,3.18014e+008
8,1,10,7.80733e+007,3.74559e+007
8,10,100,3.74283e+007,2.71266e+008
8,100,1000,0,0
8,1000,10000,0,0
