FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,1.21923e+011,9.24061e+008
0,0.1,1,5.28289e+010,1.73655e+009
0,1,10,1.84198e+009,7.6704e+008
0,10,100,4.72103e+008,9.79497e+008
0,100,1000,1.44429e+006,2.78258e+008
0,1000,10000,500490,2.76794e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,2.25691e+006,2.38203e+006
1,10,100,2.99626e+008,1.13721e+009
1,100,1000,3.80948e+006,3.23135e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,2.48262e+010,1.79547e+009
2,1,10,1.46336e+009,6.62416e+008
2,10,100,1.37726e+008,7.12838e+008
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.466e+013,1.48695e+010
3,0.01,0.1,4.78611e+011,6.04133e+009
3,0.1,1,1.84336e+009,5.10431e+007
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,6.8004e+010,9.96349e+007
4,0.01,0.1,8.86814e+011,8.31397e+009
4,0.1,1,1.47787e+010,4.05447e+008
4,1,10,1.09667e+008,1.94869e+007
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,8.83441e+012,4.36457e+009
5,0.01,0.1,1.56088e+012,4.18904e+009
5,0.1,1,1.55561e+009,1.01497e+008
5,1,10,8.58267e+006,5.15276e+006
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,9.9233e+011,1.87628e+009
6,0.1,1,1.05918e+009,4.10785e+007
6,1,10,1.42363e+008,5.63828e+007
6,10,100,1.79842e+007,4.0457e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,3.83023e+008,1.17559e+007
7,0.1,1,7.83567e+010,1.8269e+009
7,1,10,3.15968e+008,1.22854e+008
7,10,100,2.45744e+008,6.93341e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,8.6571e+010,6.20736e+008
8,0.1,1,1.41392e+009,6.26539e+007
8,1,10,1.53553e+007,1.65386e+007
8,10,100,4.01048e+007,5.81661e+008
8,100,1000,0,0
8,1000,10000,0,0
