FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,1.52867e+010,2.80926e+008
0,0.1,1,3.27506e+010,2.01085e+009
0,1,10,2.00157e+009,1.24285e+009
0,10,100,1.6021e+008,4.22259e+008
0,100,1000,4.58798e+006,4.46112e+008
0,1000,10000,346073,2.30918e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,7.2587e+007,2.657e+008
1,10,100,1.05562e+008,9.69038e+008
1,100,1000,4.49476e+006,2.07666e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,2.96507e+010,2.92217e+009
2,1,10,2.19126e+009,1.0539e+009
2,10,100,1.51634e+008,2.78538e+008
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,5.87462e+012,9.92959e+009
3,0.01,0.1,9.97812e+011,4.38301e+009
3,0.1,1,4.11451e+009,1.18976e+008
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,1.38881e+008,459940
4,0.01,0.1,3.78668e+011,4.81189e+009
4,0.1,1,5.54313e+009,5.52182e+008
4,1,10,6.46364e+007,3.87808e+007
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,5.96646e+011,2.37778e+009
5,0.01,0.1,7.12351e+011,1.84697e+009
5,0.1,1,4.8037e+009,2.73512e+008
5,1,10,1.56459e+007,7.64046e+006
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.14404e+009,6.66595e+007
6,0.1,1,9.80712e+008,5.9799e+007
6,1,10,5.73879e+007,3.33319e+007
6,10,100,7.9318e+006,1.77952e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,1.30144e+008,1.67703e+007
7,0.1,1,4.66337e+010,2.0575e+009
7,1,10,1.48981e+008,1.94891e+008
7,10,100,3.28256e+007,3.05105e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.45265e+010,4.28821e+008
8,0.1,1,5.82744e+009,4.73311e+008
8,1,10,3.7045e+007,2.73033e+007
8,10,100,1.12441e+007,1.79926e+008
8,100,1000,0,0
8,1000,10000,0,0
