FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,1.98187e+011,1.32779e+009
0,0.1,1,2.8773e+009,1.9434e+008
0,1,10,8.69553e+008,4.93467e+008
0,10,100,3.85399e+008,7.22838e+008
0,100,1000,2.40907e+006,3.58665e+008
0,1000,10000,404220,1.7603e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,2.9672e+008,3.25075e+007
1,10,100,2.02095e+008,1.28183e+009
1,100,1000,1.43932e+007,6.86694e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,2.1644e+010,4.58604e+008
2,1,10,5.29832e+008,3.16908e+008
2,10,100,2.24065e+007,3.79168e+008
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,2.1346e+013,1.33621e+010
3,0.01,0.1,2.53716e+011,1.45544e+009
3,0.1,1,7.10495e+008,1.94936e+007
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,1.11235e+011,1.84044e+008
4,0.01,0.1,3.60555e+011,1.43164e+009
4,0.1,1,7.35748e+008,1.18754e+008
4,1,10,8.87114e+006,1.25861e+007
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.87958e+012,4.56946e+009
5,0.01,0.1,3.19848e+012,1.56008e+009
5,0.1,1,2.63404e+008,3.35574e+007
5,1,10,5.38419e+006,2.00544e+006
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,7.32846e+010,3.14699e+008
6,0.1,1,1.77624e+008,8.5421e+006
6,1,10,2.48326e+007,1.68121e+007
6,10,100,3.6487e+007,5.29566e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,4.9943e+007,402905
7,0.1,1,4.23937e+009,2.70098e+008
7,1,10,1.4561e+008,1.85292e+008
7,10,100,8.28373e+007,5.5365e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,7.71594e+008,1.05116e+007
8,0.1,1,3.67627e+008,2.34708e+007
8,1,10,8.83444e+006,1.56648e+007
8,10,100,3.16456e+007,3.28746e+008
8,100,1000,0,0
8,1000,10000,0,0
