GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,1796.87,28740.8,28740.8,18367.2,-2.46243,0,0.5,2,0,10,1,13,11,2
0,0,3832.94,455902,69674,113374,-2.34468,0,0.5,2,0,4294967295,0,13,13,0
0,0,664.751,11184.4,11184.4,83900.3,-2.20265,0,0.5,2,0,8,1,13,9,4
0,0,49.8727,2594.96,2594.96,258500,-2.24328,0,0.5,2,0,6,1,13,7,6
0,0,2.97435,56.1596,56.1596,5.67148e+006,-2.35147,3,0.5,2,0,6,1,9,3,6
0,0,542.186,48304.6,28923.3,19103.8,-2.34468,0,0.5,2,0,4294967295,0,13,13,0
0,0,16038.3,348711,143343,177431,-2.46243,0,0.5,2,0,4294967295,0,13,13,0
0,0,51.2336,2612.8,249.356,4.95279e+007,-2.24328,10,0.5,2,0,4294967295,0,2,2,0
0,0,671.341,11558.4,1726.05,519962,-2.20265,10,0.5,2,0,4294967295,0,2,2,0
0,0,2.97435,56.1596,12.3184,1.42336e+009,-2.35147,11,0.5,2,0,4294967295,0,1,1,0
0,0,52.0996,2467.34,52.0996,1.5021e+007,-2.24328,12,0.5,2,0,4294967295,0,0,0,0
0,0,1745.65,27809.4,1745.65,207619,-2.46243,12,0.5,2,0,4294967295,0,0,0,0
0,0,612.613,11427.5,612.613,1.01839e+006,-2.20265,12,0.5,2,0,4294967295,0,0,0,0
0,0,3.03647,56.5039,3.03647,2.21772e+008,-2.35147,12,0.5,2,0,4294967295,0,0,0,0
0,1,1624.88,64817.9,64817.9,683.166,-0.00478239,0,0.5,3.99657,0,5,1,13,6,7
0,1,30.6126,1787.35,1787.35,139.241,-2.34468,4,0.5,3.55413,0,8,1,8,4,4
0,1,1537.14,26904.1,24472,1.12045e+007,-0.0148822,5,0.5,3.28886,8494.64,9,1,7,4,3
0,1,1537.14,26904.1,2392.62,1.04814e+007,-0.0148822,10,0.5,3.82114,0,4294967295,0,2,2,0
0,1,31.5674,1678.09,982.793,1.69358e+006,-2.34468,10,0.5,3.67734,0,4294967295,0,2,2,0
0,1,30.8823,1880.85,228.809,3.33477e+006,-2.34468,11,0.5,3.43648,0,4294967295,0,1,1,0
0,1,2603.02,40521.4,6600.58,46.8457,0.000107742,11,0.5,3.70324,0,4294967295,0,1,1,0
0,1,1690.15,64042.8,1690.15,31360,-0.00478239,12,0.5,3,0,4294967295,0,0,0,0
0,1,33.5544,1658.86,33.5544,17894.8,-2.34468,12,0.5,3,0,4294967295,0,0,0,0
0,2,37.2263,2236.7,2236.7,275962,-2.34468,0,0.5,3.44591,0,6,1,13,7,6
0,2,432.886,6861.7,6861.7,726908,-2.20265,0,0.5,2.27872,1276.87,7,1,13,8,5
0,2,22.4123,530.844,530.844,1.08113e+007,-2.35147,5,0.5,3.53916,-2.57009e-014,7,1,7,2,5
0,2,8.78368,264.847,264.847,7.96528e+007,-2.71651,5,0.5,3.58033,0,7,1,7,2,5
0,2,379.597,32087.4,15195.7,9096.28,-2.34468,0,0.5,2.19236,0,4294967295,0,13,13,0
0,2,139.549,4322.68,4322.68,4.2589e+006,-2.50065,0,0.5,3.02355,0,12,1,13,13,0
0,2,89.8879,958.024,958.024,20085.2,-2.30151,0,0.5,3.54127,0,5,1,13,6,7
0,2,431.141,6734.57,1193.71,3.01576e+007,-2.20265,11,0.5,3.56965,0,4294967295,0,1,1,0
