FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,4.55502e+011,2.19311e+009
0,0.1,1,6.5822e+009,3.77048e+008
0,1,10,7.92311e+008,5.57168e+008
0,10,100,2.6168e+008,6.38997e+008
0,100,1000,2.21103e+006,3.77514e+008
0,1000,10000,390528,1.86354e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,3.47748e+008,2.93222e+007
1,10,100,2.2949e+008,1.37159e+009
1,100,1000,8.65425e+006,3.28444e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,1.93532e+009,1.95757e+008
2,1,10,6.95114e+008,3.81654e+008
2,10,100,1.84974e+007,3.13356e+008
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,2.40867e+013,1.44118e+010
3,0.01,0.1,1.16417e+012,2.66263e+009
3,0.1,1,4.80825e+008,2.52637e+007
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,3.7893e+010,5.94076e+007
4,0.01,0.1,6.10313e+011,2.36131e+009
4,0.1,1,9.39915e+008,1.60886e+008
4,1,10,7.35801e+006,1.50888e+007
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,9.44094e+012,5.99408e+009
5,0.01,0.1,2.2254e+012,2.13036e+009
5,0.1,1,3.35722e+009,4.82606e+007
5,1,10,6.23313e+006,2.5584e+006
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,4.66042e+010,3.4052e+008
6,0.1,1,2.4048e+008,1.29993e+007
6,1,10,2.51921e+007,1.71748e+007
6,10,100,2.55815e+007,4.26459e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,1.06101e+008,905836
7,0.1,1,1.11559e+010,4.01898e+008
7,1,10,1.53162e+008,1.35695e+008
7,10,100,5.32156e+007,3.58302e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,3.19351e+009,3.01683e+007
8,0.1,1,5.12664e+008,2.10928e+007
8,1,10,9.36531e+006,1.69899e+007
8,10,100,2.52611e+007,2.87012e+008
8,100,1000,0,0
8,1000,10000,0,0
