FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,7.59043e+010,6.36025e+008
0,0.1,1,4.12668e+010,1.64679e+009
0,1,10,2.07161e+009,1.00978e+009
0,10,100,2.14484e+008,4.10543e+008
0,100,1000,5.24853e+006,4.27473e+008
0,1000,10000,356615,2.19499e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,1.05988e+008,8.79534e+007
1,10,100,1.46614e+008,9.53412e+008
1,100,1000,5.85821e+006,2.15949e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,3.73721e+010,3.11054e+009
2,1,10,3.07438e+009,1.15713e+009
2,10,100,4.55802e+007,2.63503e+008
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.34389e+013,1.03002e+010
3,0.01,0.1,6.57133e+011,4.21689e+009
3,0.1,1,6.21098e+009,8.72007e+007
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,3.19159e+008,885763
4,0.01,0.1,1.232e+012,6.33693e+009
4,0.1,1,1.24426e+010,5.02519e+008
4,1,10,6.83362e+007,3.50232e+007
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.82613e+012,4.12064e+009
5,0.01,0.1,1.51003e+012,3.69868e+009
5,0.1,1,2.70875e+009,1.79415e+008
5,1,10,1.64363e+007,5.72787e+006
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,3.73732e+009,1.03847e+008
6,0.1,1,8.92099e+008,4.37642e+007
6,1,10,5.51233e+007,2.79692e+007
6,10,100,1.01967e+007,2.08223e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,5.18482e+008,1.35384e+007
7,0.1,1,1.08165e+011,2.66296e+009
7,1,10,1.65059e+008,1.52713e+008
7,10,100,3.51072e+007,2.78792e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,9.34851e+009,3.54726e+008
8,0.1,1,9.80553e+009,2.63957e+008
8,1,10,3.67509e+007,2.44382e+007
8,10,100,1.28431e+007,1.85703e+008
8,100,1000,0,0
8,1000,10000,0,0
