FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,2.71721e+009,3.18732e+008
0,0.1,1,1.29283e+010,1.57674e+009
0,1,10,1.75749e+009,1.7494e+009
0,10,100,1.31693e+008,4.03456e+008
0,100,1000,2.07272e+006,4.59629e+008
0,1000,10000,325919,2.54094e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,2.48634e+008,2.3031e+008
1,10,100,5.37119e+008,1.05752e+009
1,100,1000,3.48542e+006,2.02217e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,1.12715e+010,2.18836e+009
2,1,10,4.15402e+009,1.53605e+009
2,10,100,1.26066e+008,3.63091e+008
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,4.1385e+012,7.96087e+009
3,0.01,0.1,2.84831e+011,3.91329e+009
3,0.1,1,2.29503e+009,1.18386e+008
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,2.15946e+007,62501.9
4,0.01,0.1,8.96797e+010,1.43843e+009
4,0.1,1,2.19118e+009,7.64339e+008
4,1,10,3.0809e+007,2.71577e+007
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.84845e+012,2.01976e+009
5,0.01,0.1,1.23651e+010,6.23273e+008
5,0.1,1,2.11523e+009,3.20495e+008
5,1,10,1.4106e+007,9.9933e+006
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.73975e+009,5.74841e+007
6,0.1,1,4.97529e+008,6.04949e+007
6,1,10,5.23062e+007,4.22515e+007
6,10,100,6.02403e+006,1.56984e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,3.52238e+007,765106
7,0.1,1,6.89407e+009,8.55217e+008
7,1,10,2.55758e+008,3.07044e+008
7,10,100,3.95004e+007,3.37558e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.06263e+010,7.13497e+007
8,0.1,1,2.15469e+009,3.07575e+008
8,1,10,5.09931e+007,4.15985e+007
8,10,100,9.27536e+006,1.79168e+008
8,100,1000,0,0
8,1000,10000,0,0
