GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,1796.87,28740.8,28740.8,8567.48,-2.46243,0,0.5,2,0,10,1,16,11,5
0,0,3832.94,455902,107720,87681.5,-2.34468,0,0.5,2,0,4294967295,0,16,16,0
0,0,664.751,11184.4,11184.4,31102.8,-2.20265,0,0.5,2,3173.05,8,1,16,9,7
0,0,49.8727,2594.96,2594.96,107469,-2.24328,0,0.5,2,1139.26,6,1,16,7,9
0,0,542.186,48304.6,48304.6,492983,-2.34468,0,0.5,2,1784.22,15,1,16,16,0
0,0,16038.3,348711,204626,161500,-2.46243,0,0.5,2,0,4294967295,0,16,16,0
0,0,52.0996,2467.34,467.749,9.78988e+007,-2.24328,12,0.5,2,0,4294967295,0,3,3,0
0,0,1745.65,27809.4,5219.39,154716,-2.46243,12,0.5,2,0,4294967295,0,3,3,0
0,0,3.02384,56.5436,39.8047,3.65879e+006,-2.35147,13,0.5,2,0,4294967295,0,2,2,0
0,0,2.91239,59.9628,12.4104,110.984,-2.35147,14,0.5,2,0,4294967295,0,1,1,0
0,0,50.7563,2616.61,122.574,5.27696e+006,-2.24328,14,0.5,2,0,4294967295,0,1,1,0
0,0,658.372,11862.6,1090.78,5.0276e+006,-2.20265,14,0.5,2,0,4294967295,0,1,1,0
0,0,1759.51,30919,1759.51,107090,-2.46243,15,0.5,2,0,4294967295,0,0,0,0
0,0,2.72409,61.2298,2.72409,3.32543e+008,-2.35147,15,0.5,2,0,4294967295,0,0,0,0
0,0,2.93635,87.1937,40.028,5.90944e+006,-2.24328,13,0.5,2,0,4294967295,0,2,2,0
0,1,1624.88,64817.9,64817.9,214.556,-0.00478239,0,0.5,3.03028,8376.94,5,1,16,6,10
0,1,1537.14,26904.1,26904.1,256638,-0.0148822,5,0.5,3.96672,0,9,1,10,4,6
0,1,1537.14,26904.1,9323.76,7.74959e+006,-0.0148822,10,0.5,3.48129,0,4294967295,0,5,5,0
0,1,33.5544,1658.86,1658.86,6.36873e+006,-2.34468,12,0.5,3.7252,0,15,1,3,3,0
0,1,30.6126,1787.35,181.404,1.73664e+007,-2.34468,13,0.5,3.6647,0,4294967295,0,2,2,0
0,1,32.6424,1959.13,68.1156,992.077,-2.34468,14,0.5,3.83946,0,4294967295,0,1,1,0
0,1,1635,26134.4,1635,3.90764e+006,-0.0148822,15,0.5,3,0,4294967295,0,0,0,0
0,1,33.5544,1658.86,33.5544,3.21285e+008,-2.34468,15,0.5,3,0,4294967295,0,0,0,0
0,2,37.2263,2236.7,2236.7,31337.1,-2.34468,0,0.5,3.47379,0,6,1,16,7,9
0,2,379.597,32087.4,23039.3,7585.01,-2.34468,0,0.5,2.46839,0,4294967295,0,16,16,0
0,2,431.141,6734.57,6734.57,642004,-2.20265,11,0.5,3.38275,673.49,15,1,4,4,0
0,2,34.8032,2189.44,1080.35,1.00565e+008,-2.34468,11,0.5,2.72209,0,4294967295,0,4,4,0
0,2,8.78368,264.847,198.027,2.76176e+007,-2.71651,12,0.5,3.26767,46.5533,14,1,3,2,1
0,2,25.0534,259.62,259.62,5.47305e+006,-2.46243,12,0.5,2.00046,100.247,14,1,3,2,1
0,2,133.02,4404.76,2284.5,5.64653e+006,-2.50065,12,0.5,3.31249,0,4294967295,0,3,3,0
0,2,84.9137,919.739,511.496,2.89382e+006,-2.30151,13,0.5,2.00832,80.3827,4294967295,0,2,2,0
0,2,8.03132,291.851,15.2149,3.11488e+006,-2.71651,14,0.5,2.00011,0,4294967295,0,1,1,0
0,2,22.4123,530.844,56.0681,3.13623e+007,-2.35147,14,0.5,2.65866,0,4294967295,0,1,1,0
0,2,151.533,4019.33,457.858,1.04428e+008,-2.50065,14,0.5,3.51668,0,4294967295,0,1,1,0
0,2,427.357,6662.06,1020.28,5.7656e+006,-2.20265,14,0.5,3.39899,0,4294967295,0,1,1,0
0,2,89.8879,958.024,138.001,131278,-2.30151,14,0.5,2.00867,0,4294967295,0,1,1,0
