FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,1.41902e+011,1.4801e+009
0,0.1,1,3.91068e+010,1.15002e+009
0,1,10,1.50279e+009,8.07159e+008
0,10,100,2.35523e+008,4.30563e+008
0,100,1000,1.90461e+006,4.21305e+008
0,1000,10000,367559,2.08245e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,2.65325e+008,6.04503e+007
1,10,100,1.59434e+008,9.66408e+008
1,100,1000,7.53702e+006,2.39761e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,1.78034e+010,1.44072e+009
2,1,10,1.47411e+009,8.84931e+008
2,10,100,3.0447e+007,2.55651e+008
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.65071e+013,1.44553e+010
3,0.01,0.1,2.44773e+012,5.07122e+009
3,0.1,1,2.20522e+009,5.90306e+007
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,5.89647e+009,5.70763e+006
4,0.01,0.1,1.38227e+012,5.65254e+009
4,0.1,1,1.05764e+010,2.31561e+008
4,1,10,7.1229e+007,2.3088e+007
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,6.30224e+012,4.31418e+009
5,0.01,0.1,1.50891e+012,3.82346e+009
5,0.1,1,3.19727e+009,9.92073e+007
5,1,10,7.40666e+006,4.58669e+006
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,3.27519e+010,2.58719e+008
6,0.1,1,6.8684e+008,2.46872e+007
6,1,10,5.24366e+007,2.23163e+007
6,10,100,1.31809e+007,2.52875e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,9.87743e+008,5.66391e+006
7,0.1,1,5.82923e+010,1.61049e+009
7,1,10,2.58353e+008,1.45011e+008
7,10,100,3.79219e+007,2.69704e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.55468e+010,2.15045e+008
8,0.1,1,3.30263e+009,8.74025e+007
8,1,10,1.78797e+007,2.07226e+007
8,10,100,1.60537e+007,2.12112e+008
8,100,1000,0,0
8,1000,10000,0,0
